pmid,coords_before,coords_after,coords_gained,coords_theirs,n_contrasts,has_tissue_level,tissue_levels,integration_sources,in_their_dataset
12098499,16,16,0,2,5,False,,original,True
12202090,0,0,0,0,13,False,,original,False
15193624,3,70,67,67,13,True,3,extraction_results.json,True
15499576,2,89,87,87,11,True,3,extraction_results.json,True
15825843,47,47,0,0,22,False,,peak_only_extract,False
15876491,0,36,36,36,14,False,,extraction_results.json,True
16046146,166,362,196,196,19,True,4,extraction_results.json,True
16407533,23,62,39,39,25,False,,extraction_results.json,True
16790551,6,6,0,0,6,True,1,original,False
17240066,22,51,29,29,21,True,3,extraction_results.json,True
17604556,2,2,0,0,15,False,,original,True
17990299,39,39,0,20,8,True,3,original,True
18054726,16,16,0,0,14,False,,peak_only_extract,False
18337009,30,30,0,0,24,True,"1, 4",peak_only_extract,False
18571795,9,124,115,115,16,True,3,extraction_results.json,True
18606019,50,50,0,0,15,False,,peak_only_extract,False
18684074,12,54,42,42,8,True,"1, 3",extraction_results.json,True
19014532,8,27,19,19,12,False,,extraction_results.json,True
19061937,0,0,0,0,10,False,,original,False
19159691,80,80,0,0,10,False,,peak_only_extract,False
19345268,0,43,43,43,13,False,,extraction_results.json,True
19427842,4,51,47,47,8,False,,extraction_results.json,True
19500677,6,95,89,89,14,False,,extraction_results.json,True
19501656,29,29,0,0,17,True,1,peak_only_extract,False
19559684,186,186,0,0,21,False,,peak_only_extract,False
19595739,24,24,0,0,5,False,,original,True
19666085,52,52,0,29,19,False,,original,True
20027574,0,0,0,0,6,True,2,original,False
20071124,23,23,0,0,9,False,,peak_only_extract,False
20423216,19,19,0,0,10,False,,peak_only_extract,False
20573575,22,22,0,0,9,True,3,peak_only_extract,False
20838644,8,22,14,14,11,False,,extraction_results.json,True
20953400,22,22,0,0,6,False,,peak_only_extract,False
21080967,24,24,0,0,28,False,,peak_only_extract,False
21616623,0,0,0,0,6,False,,original,False
22197696,15,37,22,22,13,False,,extraction_results.json,True
22291848,105,105,0,0,16,True,1,peak_only_extract,False
22504841,0,0,0,0,20,False,,original,False
22761766,48,48,0,0,28,False,,peak_only_extract,False
22800833,51,51,0,10,11,False,,original,True
22837879,103,103,0,46,15,True,1,original,True
23152865,0,0,0,0,8,False,,original,False
23222890,24,24,0,29,13,True,1,original,True
23666154,0,0,0,0,9,False,,original,True
23691237,37,37,0,16,6,True,1,original,True
23762172,66,66,0,0,11,True,3,peak_only_extract,False
23823818,21,21,0,0,5,True,"1, 3",original,True
23840533,75,75,0,0,21,False,,peak_only_extract,False
23843881,15,97,82,82,28,False,,extraction_results.json,True
23853664,33,33,0,0,12,False,,peak_only_extract,False
24023568,66,66,0,0,24,True,1,original,False
24734108,14,14,0,0,19,False,,peak_only_extract,False
24927275,26,26,0,0,6,False,,original,True
24963329,0,0,0,0,0,False,,original,False
25024729,16,16,0,0,21,False,,peak_only_extract,False
25206576,0,0,0,0,6,False,,original,False
25206815,9,30,21,21,13,False,,extraction_results.json,True
25258037,3,3,0,1,1,False,,original,True
25452777,27,27,0,0,12,False,,peak_only_extract,False
25516481,0,30,30,30,16,False,,extraction_results.json,True
25525442,10,10,0,0,7,False,,peak_only_extract,False
25538761,46,46,0,0,17,True,1,peak_only_extract,False
25601007,116,116,0,0,20,False,,peak_only_extract,False
25741269,0,154,154,154,22,False,,extraction_results.json,True
25821486,2,2,0,0,3,False,,original,True
26064166,11,33,22,22,16,False,,extraction_results.json,True
