record_id,doi,pmid,title_match_score
DUP_01767,10.1016/j.mri.2024.110296,39710010,0.45
DUP_00240,10.4103/wjtcm.wjtcm_16_25,36703950,1.0
DUP_00885,10.1186/s13063-020-04950-7,33407727,0.647
DUP_00613,10.2147/ndt.s408402,36819999,0.793
DUP_00616,10.3389/fneur.2023.1148220,36846148,0.727
DUP_00820,10.3389/fpsyt.2023.1226777,38250275,0.882
DUP_01182,10.1080/17470919.2016.1188851,27196787,0.625
DUP_00612,10.3389/fnins.2021.773069,34858134,0.714
DUP_00810,10.1002/jmri.29085,37855189,0.438
DUP_00620,10.1016/j.nicl.2019.102105,31791913,0.957
DUP_01793,10.3389/fnins.2021.693623,34483822,0.467
DUP_00503,10.3233/bme-130904,24211997,0.625
DUP_00619,10.1016/j.nicl.2019.102105,31791913,0.92
DUP_01464,10.3389/fnins.2019.01062,31636536,0.615
DUP_01673,10.1016/j.neuroimage.2020.116899,32380138,0.789
DUP_00513,10.1089/acu.2012.0901,24761169,0.409
DUP_00255,10.2147/jpr.s573102,41209745,0.538
DUP_01872,10.3389/fpsyt.2024.1364713,38895035,0.5
DUP_01899,10.22514/jofph.2025.067,41436106,0.423
DUP_00035,10.3389/fpsyt.2024.1481167,39822388,0.444
DUP_00512,10.3389/fnhum.2016.00404,27562659,0.737
DUP_00724,10.1007/s10072-014-1768-7,24867864,0.929
DUP_01374,10.1186/1744-8069-3-25,17848191,0.625
DUP_00242,10.1089/acm.2016.0180,27575577,0.773
DUP_01592,10.21203/rs.2.384/v2,41953230,0.4
DUP_00431,10.3389/fnhum.2016.00063,26924978,0.444
DUP_00950,10.47939/mh.v3i4(07).24,42113385,0.5
DUP_00054,10.3389/fnhum.2022.843186,36741778,0.545
DUP_00106,10.1016/j.pain.2008.03.008,18423873,1.0
DUP_01103,10.1097/md.0000000000030740,36123862,0.571
DUP_01328,10.1089/acm.2006.6217,17309370,0.917
DUP_01293,10.1155/2017/9785345,29234450,0.75
DUP_01042,10.1007/s11682-026-01094-1,41642427,0.833
