pdf_index,old_filename,new_filename,pmid
143,_-143.pdf,PMID_39169368.pdf,39169368
145,_-145.pdf,PMID_17973984.pdf,17973984
148,_-148.pdf,PMID_41626073.pdf,41626073
149,_-149.pdf,PMID_29325883.pdf,29325883
156,_-156.pdf,PMID_34777225.pdf,34777225
161,_-161.pdf,PMID_18606019.pdf,18606019
164,_-164.pdf,PMID_22837879.pdf,22837879
167,_-167.pdf,PMID_37152608.pdf,37152608
168,_-168.pdf,PMID_25258037.pdf,25258037
169,_-169.pdf,PMID_38336368.pdf,38336368
170,_-170.pdf,PMID_24927275.pdf,24927275
172,_-172.pdf,PMID_30137262.pdf,30137262
