record_id,database_source,title,original_pdf_collected,original_pdf_match_type,original_pdf_index,original_pdf_pmid,original_pdf_title,pdf_available_for_full_text_review,next_step,authors,year,journal,doi,pmid,duplicate_group_id,source_file,screening_decision,exclusion_reason,notes,ai_title_decision,ai_exclusion_reason,ai_confidence,ai_flags,ai_analysis_tier_hint,reevaluated_title_decision,reevaluated_title_reason,reevaluated_confidence,normalized_title,abstract,pubmed_title,pubmed_journal,pubmed_year,pubmed_doi,publication_types,mesh_terms,abstract_retrieval_status,abstract_source,title_abstract_screen_decision,title_abstract_exclusion_reason,title_abstract_confidence,human_participants_flag,acupuncture_like_intervention_flag,functional_brain_imaging_flag,original_empirical_data_flag,sham_or_placebo_flag,likely_coordinate_candidate_flag,needs_full_text_review,reviewer_notes
DUP_00996,Embase; PubMed,Exploring Neural Idiosyncrasies in Response to Autonomous Sensory Meridian Response Videos: Naturalistic Functional Magnetic Resonance Imaging Study of Stress and Sensory Processing,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Lee HE, Youk S, Lee YE, Malik M, Weber R.",2025,J Med Internet Res,10.2196/68586,40729648.0,DUP_00996,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,exploring neural idiosyncrasies in response to autonomous sensory meridian response videos naturalistic functional magnetic resonance imaging study of stress and sensory processing,"BACKGROUND: Autonomous sensory meridian response (ASMR) videos have been increasingly popularized as accessible tools for stress relief. Despite widespread media coverage promoting their benefits, empirical research on the neural mechanisms underlying ASMR remains limited, particularly in general, unselected populations rather than self-identified ASMR responders. OBJECTIVE: This study aimed to investigate whether ASMR videos, when viewed in a naturalistic context by a general population sample, elicit consistent neural synchrony in stress-related brain regions and whether individual differences in perceived stress predict variability in neural responses. METHODS: The study included 72 young adults from South Korea. They participated in a functional magnetic resonance imaging experiment in which they viewed 3 ASMR videos selected through both manual and computational content analysis to reflect commonly consumed ASMR content. Intersubject correlation analysis was used to quantify the degree to which participants exhibited shared temporal patterns of neural activity across 16 a priori regions of interest implicated in stress processing. Intersubject representational similarity analysis assessed whether pairwise similarity in self-reported stress levels predicted similarity in neural synchrony. Exploratory analyses examined differences across videos, the impact of familiarity and prior ASMR use, and comparisons with a Mukbang control video. RESULTS: Intersubject correlation analysis demonstrated that ASMR videos elicited significant neural synchrony in several brain regions (P<.05), including the insula and amygdala, although this synchrony varied across videos. No significant associations were identified between perceived stress and neural synchrony after correction for multiple comparisons (all P>.05). Exploratory comparisons with a Mukbang control video revealed no significant differences in stress-related neural synchrony between ASMR and non-ASMR content (all P>.05). Additional exploratory analyses examining familiarity with the content and prior ASMR viewership also did not show significant effects (all P>.05). Uncorrected analyses suggested weak trends that indicated greater neural variability among participants with differing stress levels, but these findings are preliminary. CONCLUSIONS: The results do not provide conclusive evidence that ASMR videos consistently engage stress-related neural networks or that individual stress levels predict neural synchrony during ASMR video viewing. The findings highlight the substantial variability in ASMR engagement across content and individuals, and underscore the need for further research using multimodal physiological measures, larger samples, and stratified designs to identify which ASMR components and viewer characteristics are most relevant to potential stress-relief effects.",Exploring Neural Idiosyncrasies in Response to Autonomous Sensory Meridian Response Videos: Naturalistic Functional Magnetic Resonance Imaging Study of Stress and Sensory Processing.,Journal of medical Internet research,2025,10.2196/68586,Journal Article,"Humans; Magnetic Resonance Imaging; Female; Male; Stress, Psychological; Young Adult; Adult; Brain; Republic of Korea",abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,yes,no,yes,,no,no,,
DUP_01029,Embase; PubMed,Fractal Dimension of Resting-State EEG as a Biomarker for Autonomous Sensory Meridian Response (ASMR),no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Dharia SY, Valderrama CE, Liu Q, Fredborg BK, Desroches AS, Smith SD.",2025,IEEE J Biomed Health Inform,10.1109/JBHI.2025.3612301,41359721.0,DUP_01029,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term; non_fMRI_modality_flag,systematic review / possible fMRI candidate,include,carried over from first title screen,high,fractal dimension of resting state eeg as a biomarker for autonomous sensory meridian response asmr,"Autonomous Sensory Meridian Response (ASMR) is an audio-visual phenomenon characterized by multisensory experiences in response to specific auditory stimuli, typically triggering a tingling sensation beginning in the scalp and neck and accompanied by decreased heart rate and deep relaxation. While prior electroencephalogram (EEG) studies have identified ASMR-related neural signatures in stimulus-based paradigms, resting-state differe nces between ASMR-sensitive (ASMR+) and non-sensitive (ASMR-) individuals remain unexplored. In this study, we apply Higuchi's fractal dimension (HFD) to eyes-open and eyes-closed resting-state EEG and demonstrate that ASMR+ participants exhibit significantly lower complexity in the delta (1-4Hz) and theta (4-8Hz) bands and higher complexity in the alpha (8-12Hz) band. Moreover, we train Transformer, Mamba, Random Forest and SVM classifiers on these HFD features to distinguish ASMR+ individuals from ASMR-, achieving F1 scores of 82.56%, 77.33%, 73.93%, and 70.85%, respectively. Finally, using an explainable-AI approach, we showed that ASMR+ participants had significantly lower hubness proportions (network connectivity) than ASMR-. These findings reveal novel resting-state biomarkers of ASMR sensitivity and lay the groundwork for rapid, noninvasive EEG-based screening in ASMR-augmented therapeutic applications. The code has been released on https://github.com/Shyamal-Dharia/Fractal-Dimension-of-Resting-State-EEG-as-a-Biomarker-for-Autonomous-Sensory-Meridian-Response-ASMR-GitHub.",Fractal Dimension of Resting-State EEG as a Biomarker for Autonomous Sensory Meridian Response (ASMR).,IEEE journal of biomedical and health informatics,2025,10.1109/JBHI.2025.3612301,Journal Article,"Humans; Electroencephalography; Male; Female; Adult; Young Adult; Signal Processing, Computer-Assisted; Fractals; Biomarkers; Meridians; Brain",abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,yes,no,yes,,no,no,,
DUP_01345,Embase; PubMed,Neural Manifold Decoder for Acupuncture Stimulations With Representation Learning: An Acupuncture-Brain Interface,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Yu H, Zeng F, Liu D, Wang J, Liu J.",2025,IEEE J Biomed Health Inform,10.1109/JBHI.2025.3530922,40031188.0,DUP_01345,PUBMED_0518.csv; records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,neural manifold decoder for acupuncture stimulations with representation learning an acupuncture brain interface,"Acupuncture stimulations in somatosensory system can modulate spatiotemporal brain activity and improve cognitive functions of patients with neurological disorders. The correlation between these somatosensory stimulations and dynamical brain responses is still unclear. We proposed a deep learning framework using electroencephalographic activity of stimulated subjects to decode the needling processes of various acupuncture manipulations performed on Zusanli acupoint. Contrastive representation learning integrated with domain adaptation strategy was applied to estimate 3D hand postures and hand joint motion trajectories of acupuncturist with video recordings, by which finite dimensional representations of behavior manifolds for needling operations were inferred. Distinct transition dynamics of behavior manifold were observed for acupuncture with lifting-thrusting and twisting-rotating manipulations. Moreover, latent neural manifolds of acupuncture evoked EEG signals were estimated in low dimensional state space of brain activities with unsupervised manifold learning, which can reliably represent acupuncture stimulations. Furthermore, a nonlinear decoder based on neural networks was designed to transform neural manifolds to behavior manifolds and further predict acupuncture manipulation as well as needling process. Experimental results demonstrated a high performance of the proposed decoding framework for four types of acupuncture manipulations with a precision of 92.42%. The EEG decoder provides an acupuncture-brain interface linking somatosensory stimulations with neural representations, an effective scheme for revealing clinical efficacy of acupuncture treatment.",Neural Manifold Decoder for Acupuncture Stimulations With Representation Learning: An Acupuncture-Brain Interface.,IEEE journal of biomedical and health informatics,2025,10.1109/JBHI.2025.3530922,Journal Article,"Humans; Electroencephalography; Acupuncture Therapy; Male; Adult; Brain-Computer Interfaces; Female; Signal Processing, Computer-Assisted; Deep Learning; Young Adult; Brain; Neural Networks, Computer",abstract_found,pubmed,exclude,non_fMRI_modality_only,medium,yes,yes,no,,no,no,,
DUP_00973,Embase; PubMed,Evaluation of Acupuncture Efficacy in Modulating Brain Activity With Periodic-Aperiodic EEG Measurements,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Yu H, Li F, Liu J, Liu D, Guo H, Wang J, Li G.",2024,IEEE Trans Neural Syst Rehabil Eng,10.1109/TNSRE.2024.3421648,38949930.0,DUP_00973,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term; non_fMRI_modality_flag,systematic review / possible fMRI candidate,include,carried over from first title screen,high,evaluation of acupuncture efficacy in modulating brain activity with periodic aperiodic eeg measurements,"Acupuncture is an important therapeutic method of traditional Chinese medicine and can effectively modulate brain disorders. The therapeutic efficacy of acupuncture is hard to evaluate due to lacking of effective measurements of brain activity. In this work, we design an EEG-based monitoring system to evaluate therapeutic effect of acupuncture on human brain by extracting periodic-aperiodic features. Power spectral density is estimated to compute the adjusted power of periodic oscillatory rhythm in EEG under acupuncture stimulation. It is exhibited that the brain activity in alpha band (8-12 Hz) is significantly enhanced during acupuncture, especially in parietal and occipital lobe regions. To probe the modulatory effect of acupuncture on aperiodic brain activity, we calculate the aperiodic exponent based on the parameterization of EEG power spectra. The aperiodic exponent decreases along with acupuncture process, which is more significant in central and frontal lobe regions. Furthermore, sensitivity of different brain regions to acupuncture is assessed by the integration of adjusted power and aperiodic exponent. Experimental results demonstrate the effectiveness of proposed periodic-aperiodic measurements of EEG signals, by which different effects of four acupuncture manipulations are precisely evaluated and a knowledge graph is established. The monitoring system provides a new perspective to quantitatively evaluate acupuncture effect on human brain and improve its therapeutic efficacy in clinical applications for neural disorders.",Evaluation of Acupuncture Efficacy in Modulating Brain Activity With Periodic-Aperiodic EEG Measurements.,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,2024,10.1109/TNSRE.2024.3421648,"Journal Article; Research Support, Non-U.S. Gov't",Humans; Electroencephalography; Acupuncture Therapy; Brain; Male; Algorithms; Adult; Alpha Rhythm; Young Adult; Reproducibility of Results; Female; Treatment Outcome; Sensitivity and Specificity,abstract_found,pubmed,exclude,non_fMRI_modality_only,medium,yes,yes,no,,no,no,,
DUP_00444,Embase; PubMed,Brain function effects of autonomous sensory meridian response (ASMR) video viewing,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Sakurai N, Nagasaka K, Takahashi S, Kasai S, Onishi H, Kodama N.",2023,Front Neurosci,10.3389/fnins.2023.1025745,36777643.0,DUP_00444,PUBMED_0518.csv; records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,brain function effects of autonomous sensory meridian response asmr video viewing,"BACKGROUND: Autonomous sensory meridian response (ASMR) is the sensation of tingling from audiovisual stimuli that leads to positive emotions. ASMR is used among young people to relax, induce sleep, reduce stress, and alleviate anxiety. However, even without experiencing tingling, ASMR is used by many young people to seek relaxation. Auditory stimulation in ASMR is thought to play the most important role among its triggers, and previous studies have used a mixture of auditory and visual stimulation and auditory stimulation. This is the first study to approach the differences between the effects of direct audiovisual and auditory stimulation from the perspective of brain function using functional magnetic resonance imaging (fMRI) and to clarify the effects of ASMR, which attracts many young people. METHODS: The subjects were 30 healthy subjects over 19 years old or older who had not experienced tingling. Brain function was imaged by fMRI while watching ASMR videos or listening to the sound files only. We administered a questionnaire based on a Likert scale to determine if the participants felt a ""relaxed mood"" and ""tingling mood"" during the task. RESULTS: Significant activation was found in the visual cortex for audiovisual stimulation and in the visual and auditory cortex for auditory stimulation. In addition, activation of characteristic sites was observed. The specific sites of activation for audiovisual stimulation were the middle frontal gyrus and the left nucleus accumbens, while the specific sites of activation for auditory stimulation were the bilateral insular cortices. The questionnaire showed no significant differences in either ""relaxed mood"" or ""tingling mood"" in response to auditory and visual stimulation or auditory stimulation alone. CONCLUSION: The results of this study showed that there was a clear difference between auditory and audiovisual stimulation in terms of the areas of activation in the brain, but the questionnaire did not reveal any difference in the subjects' mood. Audiovisual stimulation showed activation of the middle frontal gyrus and the nucleus accumbens, whereas auditory stimulation showed activation of the insular cortex. This difference in brain activation sites suggests a difference in mental health effects between auditory and audiovisual stimulation. However, future research on comparisons between those who experience tingling and those who do not, as well as investigations of physiological indices, and examination of the relationship with activated areas in the brain may show that ASMR is useful for mental health.",Brain function effects of autonomous sensory meridian response (ASMR) video viewing.,Frontiers in neuroscience,2023,10.3389/fnins.2023.1025745,Journal Article,,abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,yes,no,yes,,no,no,,
DUP_00943,Embase; PubMed,Electroacupuncture protective effects after cerebral ischemia are mediated through miR-219a inhibition,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Dai Y, Wang S, Yang M, Zhuo P, Ding Y, Li X, Cao Y, Guo X, Lin H, Tao J, Chen L, Liu W.",2023,Biol Res,10.1186/s40659-023-00448-z,37391839.0,DUP_00943,PUBMED_0518.csv; records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,electroacupuncture protective effects after cerebral ischemia are mediated through mir 219a inhibition,"BACKGROUND: Electroacupuncture (EA) is a complementary and alternative therapy which has shown protective effects on vascular cognitive impairment (VCI). However, the underlying mechanisms are not entirely understood. METHODS: Rat models of VCI were established with cerebral ischemia using occlusion of the middle cerebral artery or bilateral common carotid artery. The brain structure and function imaging were measured through animal MRI. miRNA expression was detected by chip and qPCR. Synaptic functional plasticity was detected using electrophysiological techniques. RESULTS: This study demonstrated the enhancement of Regional Homogeneity (ReHo) activity of blood oxygen level-dependent (BOLD) signal in the entorhinal cortical (EC) and hippocampus (HIP) in response to EA treatment. miR-219a was selected and confirmed to be elevated in HIP and EC in VCI but decreased after EA. N-methyl-D-aspartic acid receptor1 (NMDAR1) was identified as the target gene of miR-219a. miR-219a regulated NMDAR-mediated autaptic currents, spontaneous excitatory postsynaptic currents (sEPSC), and long-term potentiation (LTP) of the EC-HIP CA1 circuit influencing synaptic plasticity. EA was able to inhibit miR-219a, enhancing synaptic plasticity of the EC-HIP CA1 circuit and increasing expression of NMDAR1 while promoting the phosphorylation of downstream calcium/calmodulin-dependent protein kinase II (CaMKII), improving overall learning and memory in VCI rat models. CONCLUSION: Inhibition of miR-219a ameliorates VCI by regulating NMDAR-mediated synaptic plasticity in animal models of cerebral ischemia.",Electroacupuncture protective effects after cerebral ischemia are mediated through miR-219a inhibition.,Biological research,2023,10.1186/s40659-023-00448-z,Journal Article,Animals; Rats; Electroacupuncture; Brain; Phosphorylation; Hippocampus; Brain Ischemia,abstract_found,pubmed,exclude,animal_study,high,no,yes,yes,yes,no,no,,
DUP_01671,Embase; PubMed,Structural differences in the cortex of individuals who experience the autonomous sensory meridian response,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Kornelsen J, Fredborg BK, Smith SD.",2023,Brain Behav,10.1002/brb3.2894,36692975.0,DUP_01671,PUBMED_0518.csv; records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,structural differences in the cortex of individuals who experience the autonomous sensory meridian response,"BACKGROUND AND PURPOSE: The autonomous sensory meridian response (ASMR) is a multimodal perceptual phenomenon in which specific sensory triggers evoke tingling sensations on the scalp, neck, and shoulders; these sensations are accompanied by a positive and calming affective state. Previous functional neuroimaging research has shown that ASMR experiences involve medial prefrontal and sensorimotor brain areas. The purpose of the current study was to examine whether there are structural differences in the cortex of individuals who experience ASMR. METHODS: Seventeen individuals with ASMR and 17 matched control participants completed an MPRAGE structural MRI scan. These data were analyzed to determine if group differences were present for measures of cortical thickness, cortical complexity, sulcal depth, and gyrification. RESULTS: ASMR was associated with reduced cortical thickness in a number of regions including the left precuneus, precentral gyrus, and insula, and the right orbitofrontal cortex, superior frontal cortex, and paracentral lobule. Reduced thickness was observed bilaterally in the supramarginal gyrus. Individuals with ASMR also showed less cortical complexity in the pars opercularis and pars triangularis. CONCLUSIONS: The differences in cortical thickness and complexity were in brain areas whose functions relate to the ASMR experience. These differences include neural regions related to phonological processing, sensorimotor functions, and attention.",Structural differences in the cortex of individuals who experience the autonomous sensory meridian response.,Brain and behavior,2023,10.1002/brb3.2894,"Journal Article; Research Support, Non-U.S. Gov't",Humans; Meridians; Brain; Emotions; Brain Mapping; Motor Cortex; Magnetic Resonance Imaging; Cerebral Cortex,abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,yes,no,yes,,no,no,,
DUP_01895,Embase; PubMed,Tingles down the spinal cord: A spinal functional magnetic resonance imaging investigation of the autonomous sensory meridian response,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Smith SD, Kolesar TA, Fredborg BK, Kornelsen J.",2022,Perception,10.1177/03010066221098964,35578557.0,DUP_01895,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,tingles down the spinal cord a spinal functional magnetic resonance imaging investigation of the autonomous sensory meridian response,"Autonomous sensory meridian response (ASMR) is a perceptual and emotional phenomenon in which specific sensory stimuli elicit a feeling of calm as well as tingling sensations on the scalp, neck, and shoulders. In the current study, we use fMRI to examine whether the motoric and sensory regions of the spinal cord segments associated with these body parts show increased activity during ASMR experiences. Nine individuals with ASMR completed six spinal functional magnetic resonance imaging runs while passively viewing videos. Three of the videos were shown (through pre-testing) to elicit ASMR tingles and three videos did not (i.e., control videos). The results demonstrated that ASMR-related stimuli elicited activity in dorsal (sensory) regions of spinal cord segments C1, C5, and C6; activity was observed in ventral (motoric) regions of segments C2-C8. Similar activity was not detected in response to control videos.",Tingles down the spinal cord: A spinal functional magnetic resonance imaging investigation of the autonomous sensory meridian response.,Perception,2022,10.1177/03010066221098964,Journal Article,Emotions; Humans; Magnetic Resonance Imaging; Meridians; Spinal Cord,abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,unclear,no,yes,,no,no,,
DUP_00074,Embase; PubMed,Accuracy of in-utero MRI to detect fetal brain abnormalities and prognosticate developmental outcome: postnatal follow-up of the MERIDIAN cohort,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Hart AR, Embleton ND, Bradburn M, Connolly DJA, Mandefield L, Mooney C, Griffiths PD.",2020,Lancet Child Adolesc Health,10.1016/S2352-4642(19)30349-9,31786091.0,DUP_00074,PUBMED_0518.csv; records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,include_for_abstract,title suggests acupuncture plus functional MRI/neuroimaging/brain-network outcome,medium,accuracy of in utero mri to detect fetal brain abnormalities and prognosticate developmental outcome postnatal follow up of the meridian cohort,"BACKGROUND: In utero MRI (iuMRI) detects fetal brain abnormalities more accurately than ultrasonography and provides additional clinical information in around half of pregnancies. We aimed to study whether postnatal neuroimaging after age 6 months changes the diagnostic accuracy of iuMRI and its ability to predict developmental outcome. METHODS: Families enrolled in the MERIDIAN study whose child survived to age 3 years were invited to have a case note review and assessment of developmental outcome with the Bayley Scales of Infant and Toddler Development, the Ages and Stages Questionnaire, or both. A paediatric neuroradiologist, masked to the iuMRI results, reviewed the postnatal neuroimaging if the clinical report differed from iuMRI findings. Diagnostic accuracy was recalculated. A paediatric neurologist and neonatologist categorised participants' development as normal, at risk, or abnormal, and the ability of iuMRI and ultrasonography to predict developmental outcome were assessed. FINDINGS: 210 participants had case note review, of whom 81 (39%) had additional investigations after age 6 months. The diagnostic accuracy of iuMRI remained higher than ultrasonography (proportion of correct cases was 529 [92%] of 574 vs 387 [67%] of 574; absolute difference 25%, 95% CI 21 to 29; p<0·0001). Developmental outcome data were analysed in 156 participants, and 111 (71%) were categorised as normal or at risk. Of these 111 participants, prognosis was normal or favourable for 56 (51%) using ultrasonography and for 76 (69%) using iuMRI (difference in specificity 18%, 95% CI 7 to 29; p=0·0008). No statistically significant difference was seen in infants with abnormal outcome (difference in sensitivity 4%, 95% CI -10 to 19; p=0·73). INTERPRETATION: iuMRI remains the optimal tool to identify fetal brain abnormalities. It is less accurate when used to predict developmental outcome, although better than ultrasonography for identifying children with normal outcome. Further work is needed to determine how the prognostic abilities of iuMRI can be improved. FUNDING: National Institute for Health Research Health Technology Assessment programme.",Accuracy of in-utero MRI to detect fetal brain abnormalities and prognosticate developmental outcome: postnatal follow-up of the MERIDIAN cohort.,The Lancet. Child & adolescent health,2020,10.1016/S2352-4642(19)30349-9,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't","Brain; Child, Preschool; Early Diagnosis; Female; Fetal Diseases; Follow-Up Studies; Humans; Infant; Infant, Newborn; Magnetic Resonance Imaging; Male; Neurodevelopmental Disorders; Predictive Value of Tests; Pregnancy; Prospective Studies; Reproducibility of Results; Ultrasonography, Prenatal",abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,yes,no,yes,,no,no,,
DUP_00371,Embase; PubMed,Attentional reorientation along the meridians of the visual field: Are there different neural mechanisms at play?,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Steinkamp SR, Vossel S, Fink GR, Weidner R.",2020,Hum Brain Mapp,10.1002/hbm.25086,32525609.0,DUP_00371,PUBMED_0518.csv; records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,attentional reorientation along the meridians of the visual field are there different neural mechanisms at play,"Hemispatial neglect, after unilateral lesions to parietal brain areas, is characterized by an inability to respond to unexpected stimuli in contralesional space. As the visual field's horizontal meridian is most severely affected, the brain networks controlling visuospatial processes might be tuned explicitly to this axis. We investigated such a potential directional tuning in the dorsal and ventral frontoparietal attention networks, with a particular focus on attentional reorientation. We used an orientation-discrimination task where a spatial precue indicated the target position with 80% validity. Healthy participants (n = 29) performed this task in two runs and were required to (re-)orient attention either only along the horizontal or the vertical meridian, while fMRI and behavioral measures were recorded. By using a general linear model for behavioral and fMRI data, dynamic causal modeling for effective connectivity, and other predictive approaches, we found strong statistical evidence for a reorientation effect for horizontal and vertical runs. However, neither neural nor behavioral measures differed between vertical and horizontal reorienting. Moreover, models from one run successfully predicted the cueing condition in the respective other run. Our results suggest that activations in the dorsal and ventral attention networks represent higher-order cognitive processes related to spatial attentional (re-)orientating that are independent of directional tuning and that unilateral attention deficits after brain damage are based on disrupted interactions between higher-level attention networks and sensory areas.",Attentional reorientation along the meridians of the visual field: Are there different neural mechanisms at play?,Human brain mapping,2020,10.1002/hbm.25086,"Journal Article; Research Support, Non-U.S. Gov't","Adult; Brain Mapping; Cerebral Cortex; Cues; Female; Humans; Magnetic Resonance Imaging; Male; Nerve Net; Orientation; Pattern Recognition, Visual; Psychomotor Performance; Space Perception; Visual Fields; Young Adult",abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,yes,no,yes,,no,no,,
