record_id,original_title
DUP_00347,Application and exploration of fNIRS in brain function mechanism of acupuncture against insomnia
DUP_00327,Analgesic Effect of Electroacupuncture on Relieving Pain in Parkinson's disease (PD) and the Mechanism Based on RS-fMRI
DUP_00885,Efficacy and Olfactory Network of Electro-acupuncture for Subjective Cognitive Decline: A Multicenter Randomized Controlled Trial and fMRI Study
DUP_01256,Mechanistic investigation of acupuncture treatment in patients with migraine: Evidence from brain imaging study (I)
DUP_01714,Temporal-Spatial Acupuncture Effects on Poststroke Sensorimotor Cortex via Yanglingquan (GB34)
DUP_00561,Cognitive Training to Enhance Brain-to-brain Concordance During Acupuncture
DUP_01511,Probing the flexible internal state transition and low-dimensional manifold dynamics of human brain with acupuncture
DUP_00521,Changed ACC-DMN functional connectivity after acupuncture with deqi for functional dyspepsia treatment
DUP_00819,Effectiveness of Yamamoto's New Skull Acupuncture (YNSA) on Resting State Brain Networks
DUP_01308,Multi-brain functional connectivity during electro-acupuncture in patient-clinician dyads: an electroencephalography (EEG) hyperscan approach
DUP_01309,Multi-brain functional connectivity during electro-acupuncture in patientclinician dyads: An electroencephalography (EEG) hyperscan approach
DUP_01333,Neural and behavioral correlates of patient-clinician therapeutic alliance in a longitudinal acupuncture intervention: An fMRI hyper-scanning study
DUP_01539,Randomized Propective Study Evaluating the Impact of an Acupuncture Session in Healthy Volunteers on the Kinetics of Cerebral Activity Using the Bispectral Index (BIS)
DUP_00217,Acupuncture promotes sensorimotor network neuroplasticity in fibromyalgia
DUP_00440,"Brain Connectome for Migraine Patients Treated Via Acupuncture: A Randomized, Controlled Study Under Single-blind Conditions, With a Placebo Group and Magnetic Resonance Imaging (MRI)"
DUP_01395,Neuromechanism of acupuncture on Parkinson's disease tremor: A resting state fMRI study
DUP_01396,Neuromodulation by electroacupuncture for migraine: An analysis using resting state functional magnetic resonance imaging
DUP_00513,Cerebral response of healthy subjects to a somatosensory stimulaton with xingnao kaiqiao acupuncture compared to control interventions measured with resting-state functional magnetic resonance imaging
DUP_00989,Experiment design and feasibility of BOLD and MRS multimodal fMRI in analysis of brain effect induced by acupuncture
DUP_01870,The Study of Acupuncture on Vascular and Functional Neuroimaging in Parkinson's Disease Patients With Sleep Disorders
DUP_01941,Using fMRI and sEMG to Evaluate the Effects and Mechanism on Abdominal Acupuncture Combined With Upper Limb Rehabilitation Training on Brain Plasticity of Hemiplegic Patients With Stroke
DUP_00218,Acupuncture Regulates Emotion-cognitive Network of Chronic Insomnia Patients : A DTI-fMRI Study
DUP_00754,Effect of acupuncture at Zulinqi (GB41) on the amplitude of low frequency fluctuations in migraine without aura patients: A resting-state functional magnetic resonance imaging study
DUP_01899,"To Explore the Cerebral Function Efficacy of Acupuncture and Fu's Subcutaneous Needling (FSN) in the Treatment of Chronic Tension-type Headache by Means of fMRI: a Single-blinded, Randomized Controlled Trials."
DUP_01931,Understanding the Cognitive Benefits of Acupuncture for Stroke Recovery Through fMRI
DUP_00724,Ear acupuncture and fMRI: A pilot study for assessing the speci-city of auricular points
DUP_00318,An fMRI Study prior and post acupuncture treatment during the first 24 hours of smoking cessation
DUP_00517,Cerebrum fMRI study on the acupucture of Five Shu Points of gall bladder meridian of Foot-Shaoyang
DUP_01374,Neuroimaging Approaches to Deconstructing Acupuncture for Chronic Pain
DUP_01622,Roundtable: Psychological and neurological effects of acupuncture: Brain effects of acupuncture studied through the functional magnetic resonance imaging technique
DUP_01041,Functional brain connectivity predicts acupuncture analgesic effect in carpal tunnel syndrome patients
DUP_01557,Regulation of cerebral regional homogeneity exerted by puncturing hao-yang acupoints for migraine patients
DUP_01633,Scalp electroacupuncture in stroke rehabilitation research: FMRI methodological issues and solutions
DUP_00037,A Physiological fMRI Study of Acupuncture and Perceptions of Pain in Chronic Low Back Pain Patients.
DUP_00437,Brain circuitry subserving acupuncture relief of itch in atopic dermatitis: An fMRI study
DUP_00468,Brain Plasticity Underlying Back Pain Response to Different Acupuncture Methods
DUP_00890,Efficacy of Acupuncture and Moxibustion Treatment in Patients With Quiescent Crohn's Disease:Evaluation With Functional Magnetic Resonance Imaging(fMRI)
DUP_00299,An Acupuncture fMRI Study on Chronic Pain: Response Reliability and Dose Effect
DUP_01070,Functional MRI and acupuncture (Large intestine 4 acupoint) in patients with myofascial pain of the jaw muscles: A pilot randomized trial
DUP_01582,"Response to correspondence on ""effect of acupuncture on the brain in children with spastic cerebral palsy using functional neuroimaging (fMRI)"""
DUP_01593,Resting-state functional MRI evaluation of after-effect of acupuncture at Zusanli point
DUP_00054,"A Spinal fMRI Study of Resting-State, Motor Task and Acupoint Stimulation"
DUP_00682,Different cerebellar responding to acupuncture at Liv3 and LI4: An fMRI study
DUP_01025,"fMRI study of acupuncture at ""four gate points"" on normal aging people"
DUP_01676,Study of acupuncture point Liv 3 with functional MRI
DUP_01560,Relationship between cerebral function and Kuangming and Taichong acupoints detected with functional MRI
DUP_01713,Temporal cluster for the anlaysis of the fMRI characteristics of acupuncture at Hegu acupoint
DUP_00472,Brain response and Kirlian photography of the cat under acupuncture
