pdf_index,filename,extracted_title,extracted_doi,found_pmid,lookup_method,match_score
138,_-138.pdf,Overview of evidence-based research on acupuncture for stroke treatment using magnetic resonance imaging technology,10.3389/fnins.2024.1495435,39654647,doi_search,1.0
143,_-143.pdf,Acupuncture modulates emotional network resting-state functional connectivity in patients with insomnia disorder: a randomized controlled trial and fMRI study,10.1186/s12906-024-04612-0,39169368,doi_search,1.0
144,_-144.pdf,OP-PAIN220049 1560..1569,10.1093/pm/pnac048,35312785,doi_search,1.0
145,_-145.pdf,(page number not for citation purposes),10.1186/1472-6882-7-33,17973984,doi_search,1.0
146,_-146.pdf,Acupuncture mobilizes the brain's,10.1016/j.brainres.2009.06.061,19559684,doi_search,1.0
147,_-147.pdf,"Shared and distinct brain activation patterns of acupoints HT7, ST36, and KI4: a task-based fMRI study",10.3389/fneur.2025.1596306,40642213,doi_search,1.0
148,_-148.pdf,Acupuncture-induced changes in locus coeruleus connectivity and memory improvement in patients with amnestic cognitive impairment,10.1016/j.ibneur.2026.01.005,41626073,doi_search,1.0
149,_-149.pdf,A Functional Neuroimaging Study of Expectancy Effects on Pain Response in Patients With Knee Osteoarthritis,10.1016/j.jpain.2017.12.260,29325883,doi_search,1.0
150,_-150.pdf,Functional connectivity changes in the thalamocortical network due to neck pain and the multiscale regulatory effects of acupuncture: a cross-scale multi-omics neuroimaging study,10.3389/fnins.2026.1783910,42131703,doi_search,1.0
151,_-151.pdf,Predicting acupuncture efficacy for neck pain based on functional connectivity features: a machine l,10.1080/07853890.2025.2548388,40847552,doi_search,1.0
152,_-152.pdf,"EXPERIMENTAL AND THERAPEUTIC MEDICINE  9:  59-64,  2015",10.3892/etm.2014.2056,25452777,doi_search,1.0
153,_-153.pdf,Acupuncture Enhances Dorsal Raphe Functional Connectivity in Knee Osteoarthritis With Chronic Pain,10.3389/fneur.2021.813723,35115998,doi_search,1.0
154,_-154.pdf,Electroacupuncture at HT5 + GB20 promotes brain remodeling and significantly improves swallowing function in patients with stroke,10.3389/fnins.2023.1274419,38027487,doi_search,1.0
155,_-155.pdf,Electroacupuncture at HT5 + GB20 produces stronger activation effect on swallowing cortex and muscle than single points,10.1016/j.heliyon.2023.e21922,38034817,doi_search,1.0
156,_-156.pdf,S1 Brain Connectivity in Carpal Tunnel Syndrome Underlies Median Nerve and Functional Improvement Following Electro-Acupuncture,10.3389/fneur.2021.754670,34777225,doi_search,1.0
157,_-157.pdf,The Limbic-Prefrontal Network,10.1155/2012/515893,22291848,doi_search,1.0
158,_-158.pdf,OP-PAIN220143 351..361,10.1093/pm/pnac141,36102803,doi_search,1.0
159,_-159.pdf,Electroacupuncture rewires interhemispheric homotopic connectivity to promote motor recovery after ischemic stroke,10.3389/fneur.2026.1688307,41641330,doi_search,1.0
160,_-160.pdf,Neural Responses of Acupuncture for Treating Functional Dyspepsia: An fMRI Study,10.3389/fnins.2022.819310,35585920,doi_search,1.0
161,_-161.pdf,(page number not for citation purposes),10.1186/1472-6882-8-37,18606019,doi_search,1.0
162,_-162.pdf,"Modulation of the Default Mode Network in First-Episode, Drug-Naïve Major Depressive Disorder via Acupuncture at Baihui (GV20) Acupoint",10.3389/fnhum.2016.00230,27242492,doi_search,1.0
163,_-163.pdf,"Published online: March 30, 2019",10.31083/j.jin.2019.01.126,31091852,doi_search,1.0
164,_-164.pdf,untitled,10.5056/jnm.2012.18.3.305,22837879,doi_search,1.0
165,_-165.pdf,Gender differences in brain activity underlying acupuncture sensations at LR3: a task-based fMRI study,10.3389/fnhum.2025.1649644,40995472,doi_search,1.0
166,_-166.pdf,RETRACTED: New findings of the correlation between acupoints and corresponding brain cortices using functional MRI,,16790551,title_phrase,0.933
167,_-167.pdf,The increased functional connectivity between the locus coeruleus and supramarginal gyrus in insomnia disorder with acupuncture modulation,10.3389/fnins.2023.1131916,37152608,doi_search,1.0
168,_-168.pdf,untitled,10.1038/srep06482,25258037,doi_search,1.0
169,_-169.pdf,Bilateral effect of acupuncture on cerebrum and cerebellum in ischaemic stroke patients with hemiparesis: a randomised clinical and neuroimaging trial,10.1136/svn-2023-002785,38336368,doi_search,1.0
170,_-170.pdf,pone.0096777 1..9,10.1371/journal.pone.0096777,24927275,doi_search,1.0
171,_-171.pdf,The effects of laser acupuncture dosage at PC6 (Neiguan) on brain reactivity: a pilot resting-state fMRI study,10.3389/fnins.2023.1264217,37901421,doi_search,1.0
172,_-172.pdf,oup_cercor_bhy190 1..12 ++,10.1093/cercor/bhy190,30137262,doi_search,1.0
173,_-173.pdf,The regulations on cortical activation and functional connectivity of the dorsolateral prefrontal cortex-primary somatosensory cortex elicited by acupuncture with reinforcing-reducing manipulation,10.3389/fnhum.2023.1159378,37206312,doi_search,1.0
174,_-174.pdf,Effect of Electro-Acupuncture and Moxibustion on Brain Connectivity in Patients with Crohn's Disease: A Resting-State fMRI Study,10.3389/fnhum.2017.00559,29204113,doi_search,1.0
175,_-175.pdf,Different brain responses to electro-acupuncture and moxibustion treatment in patients with Crohn’s disease,10.1038/srep36636,27857211,doi_search,1.0
