study	n1	n2	t_thr
15499576	50	50	3.1
15825843	20	20	3.1
15876491	85	85	3.1
16046146	47	47	3.1
16407533	65	65	3.1
17240066	48	48	3.1
18571795	66	66	3.1
19014532	28	28	3.1
19159691	40	40	3.1
19345268	573	573	3.1
19427842	118	118	3.1
19500677	52	52	3.1
19501656	50	50	3.1
19559684	48	48	3.1
19595739	18	18	3.1
19666085	72	72	3.1
20071124	20	20	3.1
20423216	30	30	3.1
20838644	68	68	3.1
23843881	41	41	3.1
24734108	20	20	3.1
25206815	60	60	3.1
25258037	20	20	3.1
25741269	35	35	3.1
26064166	21	21	3.1
26467429	20	20	3.1
26896073	28	28	3.1
27438091	34	34	3.1
27548054	105	105	3.1
27857211	70	70	3.1
28480365	59	59	3.1
29343693	9	9	3.1
31636536	28	28	3.1
32503194	49	49	3.1
32682992	10	10	3.1
33013312	65	65	3.1
33560579	20	20	3.1
34671239	45	45	3.1
35585920	33	33	3.1
37454266	34	34	3.1
37901421	51	51	3.1
39089662	41	41	3.1
39368604	104	104	3.1
39648209	34	34	3.1
40341810	24	24	3.1
40642213	51	51	3.1
40881782	16	16	3.1
41520025	12	12	3.1
41626073	18	18	3.1
41641330	24	24	3.1
42131703	98	98	3.1
