study	n1	n2	t_thr
15193624	74	74	3.1
15499576	50	50	3.1
16407533	65	65	3.1
17240066	48	48	3.1
17990299	30	30	3.1
18054726	30	30	3.1
18337009	185	185	3.1
18571795	66	66	3.1
19014532	28	28	3.1
19427842	118	118	3.1
19500677	52	52	3.1
19595739	18	18	3.1
20071124	20	20	3.1
20423216	30	30	3.1
20573575	97	97	3.1
20838644	68	68	3.1
22291848	21	21	3.1
22837879	91	91	3.1
23762172	24	24	3.1
23840533	100	100	3.1
24734108	20	20	3.1
24927275	103	103	3.1
25024729	32	32	3.1
25206815	60	60	3.1
25601007	NA	NA	3.1
25821486	180	180	3.1
26064166	21	21	3.1
26161117	60	60	3.1
26839078	36	36	3.1
26896073	28	28	3.1
27053062	45	45	3.1
27242492	58	58	3.1
27438091	34	34	3.1
27857211	70	70	3.1
28334999	28	28	3.1
28868952	27	27	3.1
30034336	115	115	3.1
31964691	30	30	3.1
33013312	65	65	3.1
33381165	23	23	3.1
34292206	38	38	3.1
34813773	19	19	3.1
35115998	30	30	3.1
36067612	15	15	3.1
37383656	24	24	3.1
37408438	49	49	3.1
37901421	51	51	3.1
39089662	41	41	3.1
39368604	104	104	3.1
39468590	35	35	3.1
40995472	46	46	3.1
41641330	24	24	3.1
42131703	98	98	3.1
