study	n1	n2	t_thr
15193624	74	74	3.1
15499576	50	50	3.1
15825843	20	20	3.1
16046146	47	47	3.1
17240066	48	48	3.1
18571795	66	66	3.1
19427842	118	118	3.1
19500677	52	52	3.1
19559684	48	48	3.1
19666085	72	72	3.1
22197696	197	197	3.1
23823818	15	15	3.1
23843881	41	41	3.1
25024729	32	32	3.1
25206815	60	60	3.1
25741269	35	35	3.1
26064166	21	21	3.1
26446439	15	15	3.1
28480365	59	59	3.1
28868952	27	27	3.1
29343693	9	9	3.1
30034336	115	115	3.1
30105065	22	22	3.1
31636536	28	28	3.1
32114310	31	31	3.1
32503194	49	49	3.1
34671239	45	45	3.1
39648209	34	34	3.1
40995472	46	46	3.1
41520025	12	12	3.1
41626073	18	18	3.1
