study	n1	n2	t_thr
15193624	74	74	3.1
15876491	85	85	3.1
16046146	47	47	3.1
17240066	48	48	3.1
17990299	30	30	3.1
18571795	66	66	3.1
18684074	45	45	3.1
19500677	52	52	3.1
19559684	48	48	3.1
20573575	97	97	3.1
20838644	68	68	3.1
23843881	41	41	3.1
23853664	44	44	3.1
25525442	12	12	3.1
25538761	38	38	3.1
25741269	35	35	3.1
26064166	21	21	3.1
26446439	15	15	3.1
26467429	20	20	3.1
27053062	45	45	3.1
27438091	34	34	3.1
27548054	105	105	3.1
27803655	36	36	3.1
29305037	12	12	3.1
29343693	9	9	3.1
30034336	115	115	3.1
30105065	22	22	3.1
31636536	28	28	3.1
32114310	31	31	3.1
33013312	65	65	3.1
34671239	45	45	3.1
34682857	24	24	3.1
36749304	36	36	3.1
37152608	21	21	3.1
37901421	51	51	3.1
38336368	41	41	3.1
39368604	104	104	3.1
39468590	35	35	3.1
41520025	12	12	3.1
