pmid,outcome_domain,arm_type,disease_condition,R_within,total_n,POMP_change,R_controlled,n_outcomes
24459533,quality_of_life,healthy_control,Functional diarrhea (FD),0.06641439619463017,36,0.3049999999999997,,2
24459533,quality_of_life,verum_acupuncture,Functional diarrhea (FD),0.10630956183992327,36,0.634999999999998,,2
24915066,pain,sham_acupuncture,migraine without aura,0.32504530627038825,40,5.900000000000006,,1
24915066,pain,verum_acupuncture,migraine without aura,0.7341,40,13.100000000000009,-0.5776527199334894,1
24915066,quality_of_life,sham_acupuncture,migraine without aura,1.1624501631025739,40,,,1
24915066,quality_of_life,verum_acupuncture,migraine without aura,1.5624082232011751,40,,1.2564060459447954,1
24915066,symptom_severity,sham_acupuncture,migraine without aura,0.5816742730259654,80,,,2
24915066,symptom_severity,verum_acupuncture,migraine without aura,0.55375850639817,80,,-0.12499189058657384,2
25916336,pain,verum_acupuncture,Migraine without aura (MWoA),2.0036,12,28.0,,1
26839078,mood,sham_acupuncture,Migraine without aura (MwoA),0.6673190661850641,22,12.15833333333333,,2
26839078,mood,verum_acupuncture,Migraine without aura (MwoA),0.48203431592109003,162,8.749999999999996,0.34467438545068574,8
26839078,mood,waitlist,Migraine without aura (MwoA),0.5181489118015621,32,9.383333333333336,,2
26839078,pain,sham_acupuncture,Migraine without aura (MwoA),0.6281556627734779,11,11.399999999999999,,1
26839078,pain,verum_acupuncture,Migraine without aura (MwoA),1.637345393197509,81,20.775000000000002,-0.12822613172204947,4
26839078,pain,waitlist,Migraine without aura (MwoA),-0.05637390857729802,16,-0.6000000000000014,,1
26839078,symptom_severity,sham_acupuncture,Migraine without aura (MwoA),0.0,11,,,1
26839078,symptom_severity,verum_acupuncture,Migraine without aura (MwoA),0.35361621346356,81,,-0.2379199037955534,4
26839078,symptom_severity,waitlist,Migraine without aura (MwoA),-1.435118644067797,16,,,1
27688791,quality_of_life,sham_acupuncture,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",0.36604391611689324,70,,,5
27688791,quality_of_life,verum_acupuncture,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",0.06789160281808097,182,1.2362500000000036,-0.3045238664095081,13
