region,Gradient_1_loading,Gradient_2_loading,Gradient_3_loading,Gradient_4_loading,Gradient_5_loading,Gradient_6_loading,Gradient_7_loading,Gradient_8_loading,Gradient_9_loading,Gradient_10_loading,Gradient_11_loading,Gradient_12_loading,Gradient_13_loading,Gradient_14_loading,Gradient_15_loading,Gradient_16_loading,Gradient_17_loading,Gradient_18_loading,Gradient_19_loading,Gradient_20_loading,Gradient_21_loading,Gradient_22_loading,Gradient_23_loading,Gradient_24_loading,Gradient_25_loading,Gradient_26_loading,Gradient_27_loading,Gradient_28_loading,Gradient_29_loading,Gradient_30_loading
Cort_Angular Gyrus,-0.12379113310847564,-0.10047613268228275,-0.10695508133463848,0.022755667002355293,-0.09424622106971346,0.21673172444193584,-0.09742072571878374,-0.0741993543179073,0.09310338199038791,-0.0912818628996723,0.14715114323259135,-0.03580226998765841,-0.04726565424943268,-0.20541432722693853,-0.03657644285546216,-0.024416814346474792,0.06648001172806395,-0.12726714795062624,0.17729065877326086,-0.07571785692032434,0.1035567289378184,0.07085902658055646,0.27239926233036027,-0.2591839792210816,0.039754290738735695,0.06445848104044911,-0.05577182608525708,0.016392994396458093,-0.011847021446050666,-0.16485341145775376
Cort_Central Opercular Cortex,0.11684555785839296,0.027916843624215815,0.16612986821093265,-0.20955385998203582,-0.13568762571385884,0.07145088927222487,0.030944357861520055,-0.1795142007253932,-0.07645386785395619,0.18187591861030591,-0.050556213018550844,0.06188341259596162,-0.11740140209077832,0.009348670960220212,0.0004919767755226165,0.07652225052958417,-0.06750540937844676,-0.013190387149998276,-0.0650334873747187,0.09620339858291468,0.19115908961848158,0.07799781152680049,-0.19885838114613158,-0.11861751253672342,-0.03249867719202046,0.026078256805232555,-0.1330148815632483,0.1365763638753723,0.0650684447221802,-0.16919297318286652
"Cort_Cingulate Gyrus, anterior division",0.0017013552667619058,0.1183958324757258,-0.22332212290236134,-0.1473370250723588,-0.2692810325017608,-0.09512031097123719,-0.06575837716321833,0.06274211980656905,-0.20229357223471658,-0.047900346570051495,-0.04895487004982556,0.16226264988442024,-0.02208510142611585,0.15229196823891142,0.031592014501868534,-0.1743246551974022,-0.02703815565449315,-0.07172856228504504,0.08263671773552982,0.14290591306877337,-0.13453621188182632,-0.014045172158098473,0.11557473910331062,-0.0026346227855813253,0.08803670504911511,-0.07048348803855067,0.07986942207026901,-0.0019727714837776567,0.04976515679838018,0.13044488596294726
"Cort_Cingulate Gyrus, posterior division",-0.12148904126878829,-0.02379535692205409,0.05861476502666963,-0.0351071045763146,-0.07431315198582261,-0.05708732120199217,-0.18398935174709355,-0.10711709948285661,0.019942878420074223,-0.2311299159516797,0.11894105281375172,0.1797150464508239,0.17258312938935563,-0.07432674028313893,0.10967382375552123,-0.06271575786620234,0.0011553957097662562,-0.16273775332082152,-0.04627123972509899,-0.14843609313217143,0.16400420628590098,0.08231027747941995,-0.08421549304651739,-0.1510896104261919,-0.15206030380758856,0.24449199228277727,-0.06875302269840933,0.16269639868203475,-0.06503329577703183,-0.3227463642555476
Cort_Cuneal Cortex,0.06915144667197609,-0.09174983225288445,-0.040093280680199544,0.17085839164382324,0.02654937311981448,-0.12103451345090438,-0.08096434536862908,-0.0922286937074492,0.1362080422267316,0.34356101382946447,0.03857183794835152,-0.025042532089637474,-0.02023445784647836,0.11423030043367335,0.1845609319722602,-0.10100737419181341,-0.11433008590929224,0.02553477412761143,-0.03214561030722399,-0.15818068590145828,0.12401175072457846,-0.0011761104579604137,0.0006004711044406141,-0.12099423205050193,0.12095500438855569,-0.11227745863711741,0.05675960164951075,0.23851309791296174,-0.0837650971165458,0.11956647463856031
Cort_Frontal Medial Cortex,0.04203590719435529,0.19668683186396987,-0.16535653513842313,0.0011795862683396108,-0.04337115488938838,0.01488780466621567,0.04695439597484383,-0.04844927555191197,-0.15086737348123153,0.11985154364343667,-0.011969452172006456,0.0529545762665965,-0.09521856359723817,-0.15056984508815024,-0.17497285451557218,0.22634325553326232,-0.18054600986052977,0.17639597981079555,-0.04850012846196622,-0.2142752616087221,0.04132460152606235,-0.2729122760569045,-0.19983361829736465,0.027885262830886576,-0.06264834925100296,0.13598171780461976,0.006626624614311086,-0.04606733206061215,-0.1820147110405087,-0.0028319454501750108
Cort_Frontal Opercular Cortex,0.06575473095987541,-0.06732345973643089,-0.03240543608997415,-0.15574253259462878,0.018087377506952287,0.3137665266006008,-0.1762747003846012,-0.08598695408880111,0.10001751295056271,0.01961002556369698,0.24474097072110573,0.07095173104353658,-0.0598504793192427,0.11932799647523361,-0.009347756740898132,0.041482070041359606,0.030433161380546376,-0.09810560729899434,0.06628397432845781,0.07720105440552599,-0.0653892062780993,-0.09897292642179537,-0.1121662755444375,0.061705170136482024,0.07863669286818781,-0.19459212542079535,0.08029579207018385,-0.02149686470483947,-0.13622913832835729,0.11684971734723304
Cort_Frontal Orbital Cortex,0.004950998511258964,0.2486653542375178,-0.019294885191238634,-0.11479443429095959,-0.013053726026528295,0.017120424829727032,-0.014192141798475576,0.152212291983839,0.3220646847687546,0.09492840450343296,-0.0059558272882630214,-0.19638712394810012,0.08387288715275752,0.047661145434467256,-0.035416311569465994,0.12760052890615053,0.1567813199069932,-0.2446911194780039,-0.20919729772403967,-0.008414110590752928,-0.08058435357079607,-0.10191145871728755,0.08457805764629134,-0.1581582282993399,-0.033277352403479954,-0.027289867289024303,0.027071148090301766,-0.029228694623671034,0.00934597794897741,-0.04847138014827762
Cort_Frontal Pole,-0.0782246659526532,-0.1686040150873081,-0.23694240952944562,-0.03887004200805788,0.0949169653254789,0.19646953599560363,0.10636254207897504,0.019009074252326036,0.12869037568183894,-0.08278724310217048,-0.17808006301407242,0.1530561722317572,0.021845771777091665,0.06780707436047537,-0.22934187057532185,-0.12079567177964669,0.1972609186215883,-0.05275527045228323,0.026986592049858454,-0.187508504451046,0.1465739912158756,-0.05382049418628818,-0.0991628752228295,-0.004988608091991647,0.139155570750375,-0.029168108225973127,0.021523300992569678,-0.03533500902890138,-0.0005740884913839287,-0.00631801295196166
Cort_Heschl's Gyrus (includes H1 and H2),0.06175745824506146,0.025487692613467894,0.19412462227156707,-0.11088742157424984,-0.09512091091902587,-0.03468755338946125,0.16104839765596532,-0.11903080579124536,0.12227004231152369,0.004107925849590247,-0.21752945672277807,-0.14112049990462008,-0.26925539032664125,-0.013772610987591083,-0.19137903479488055,0.02959736770895077,-0.06318908394716541,-0.01860786648552419,-0.029765599282156656,-0.04856334838795786,0.04208640685105228,0.17488322791784844,0.006529723880650318,-0.12219672893143865,0.09416838058913853,-0.07450791676670948,-0.10132756075656234,-0.15209499806059926,-0.09093368260729488,-0.15771602320454975
