step,variable,coefficient,p_value
step1,Intercept,34099392.15274793,1.753114991860028e-73
step1,Afferent_Input_Index,-9773984.163445368,3.0917752756306626e-08
step1,Cognitive_Anchoring,1212272.55596644,0.33180841016855916
step2,Intercept,-1.5737309842102438,0.07527136204438478
step2,C(outcome_domain)[T.function],1.010820679966105,0.03417304089934627
step2,C(outcome_domain)[T.mood],0.6886710042662344,0.1423708176526861
step2,C(outcome_domain)[T.pain],1.5823788896695656,0.0005970584461759407
step2,C(outcome_domain)[T.quality_of_life],0.9436844853948593,0.06647033209296345
step2,C(outcome_domain)[T.symptom_severity],0.8387666298073916,0.06116904109886774
step2,deqi_mean,4.070216783275506e-08,0.034007774564829354
step2,Afferent_Input_Index,1.0568892208354685,0.0020204876535841842
step2,Cognitive_Anchoring,-0.38777920958591655,0.09875059686282424
step2,Group Var,0.9716117123170268,0.05565856085942056
