pmid,contrast_id,contrast_category,brain_region,hemisphere,x,y,z,coordinate_space,statistic_type,statistic_value,cluster_size,direction,coordinate_source,x_mni,y_mni,z_mni,region_assigned
16407533,contrast_placebo_gt_control_within_mask,sham_post_gt_pre,Right anterior insula,right,46.0,20.0,-4.0,MNI,Z score,3.21,30,placebo > control,table,46.0,20.0,-4.0,Cort_Frontal Opercular Cortex
16407533,contrast_control_gt_placebo_within_mask,deactivation,Left M1,left,-18.0,-18.0,60.0,MNI,Z score,4.00,170,control > placebo,table,-18.0,-18.0,60.0,unassigned
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right inferior parietal lobule,right,60.0,-36.0,52.0,MNI,Z score,4.19,240,placebo > control,table,60.0,-36.0,52.0,"Cort_Supramarginal Gyrus, posterior division"
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Left superior frontal gyrus,left,-20.0,20.0,66.0,MNI,Z score,3.57,47,placebo > control,table,-20.0,20.0,66.0,unassigned
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right inferior frontal gyrus/anterior insula,right,48.0,22.0,-2.0,MNI,Z score,3.50,105,placebo > control,table,48.0,22.0,-2.0,Cort_Frontal Opercular Cortex
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Left inferior parietal lobule,left,-56.0,-54.0,46.0,MNI,Z score,3.38,164,placebo > control,table,-56.0,-54.0,46.0,Cort_Angular Gyrus
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Left middle frontal gyrus,left,-46.0,50.0,12.0,MNI,Z score,3.33,74,placebo > control,table,-46.0,50.0,12.0,Cort_Frontal Pole
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right middle frontal gyrus,right,40.0,58.0,2.0,MNI,Z score,3.05,31,placebo > control,table,40.0,58.0,2.0,Cort_Frontal Pole
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right middle frontal gyrus,right,52.0,38.0,26.0,MNI,Z score,3.02,36,placebo > control,table,52.0,38.0,26.0,unassigned
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Left inferior frontal gyrus,left,-54.0,12.0,28.0,MNI,Z score,2.98,87,placebo > control,table,-54.0,12.0,28.0,"Cort_Inferior Frontal Gyrus, pars opercularis"
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Bilateral rACC,bilateral,2.0,44.0,10.0,MNI,Z score,2.96,33,placebo > control,table,2.0,44.0,10.0,"Cort_Cingulate Gyrus, anterior division"
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right inferior frontal gyrus,right,48.0,40.0,8.0,MNI,Z score,2.86,27,placebo > control,table,48.0,40.0,8.0,Cort_Frontal Pole
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right supramarginal gyrus,right,60.0,-58.0,32.0,MNI,Z score,2.81,29,placebo > control,table,60.0,-58.0,32.0,Cort_Angular Gyrus
16407533,contrast_correlation_negative,correlation_clinical,Left inferior frontal gyrus,left,-22.0,12.0,-20.0,MNI,Z score,3.69,52,negative correlation,table,-22.0,12.0,-20.0,Cort_Frontal Orbital Cortex
16407533,contrast_correlation_negative,correlation_clinical,Right inferior frontal gyrus,right,28.0,48.0,2.0,MNI,Z score,3.15,20,negative correlation,table,28.0,48.0,2.0,unassigned
16407533,contrast_correlation_negative,correlation_clinical,Left inferior frontal cortex,left,-48.0,40.0,6.0,MNI,Z score,3.06,41,negative correlation,table,-48.0,40.0,6.0,Cort_Frontal Pole
16407533,contrast_correlation_negative,correlation_clinical,Right middle frontal gyrus,right,26.0,0.0,48.0,MNI,Z score,3.01,21,negative correlation,table,26.0,0.0,48.0,unassigned
16407533,contrast_correlation_negative,correlation_clinical,Bilateral rACC,bilateral,10.0,36.0,-2.0,MNI,Z score,2.82,22,negative correlation,table,10.0,36.0,-2.0,unassigned
16407533,contrast_correlation_negative,correlation_clinical,Right fusiform gyrus,right,-50.0,-48.0,-20.0,MNI,Z score,2.83,27,negative correlation,table,-50.0,-48.0,-20.0,"Cort_Inferior Temporal Gyrus, temporooccipital part"
16407533,contrast_correlation_negative,correlation_clinical,Right parahippocampus,right,12.0,-32.0,-4.0,MNI,Z score,3.49,40,negative correlation,table,12.0,-32.0,-4.0,unassigned
16407533,contrast_correlation_negative,correlation_clinical,Left cerebellum,left,-32.0,-72.0,-30.0,MNI,Z score,3.38,25,negative correlation,table,-32.0,-72.0,-30.0,unassigned
16407533,contrast_correlation_negative,correlation_clinical,Right cerebellum,right,36.0,-60.0,-44.0,MNI,Z score,2.88,26,negative correlation,table,36.0,-60.0,-44.0,unassigned
16407533,contrast_correlation_negative,correlation_clinical,Right pons,right,10.0,-32.0,-26.0,MNI,Z score,3.70,64,negative correlation,table,10.0,-32.0,-26.0,Sub_Brain-Stem
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right thalamus,right,2.0,-14.0,8.0,MNI,Z score,3.54,34,placebo > control,table,2.0,-14.0,8.0,Sub_Right Thalamus
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right anterior insula,right,46.0,20.0,-4.0,MNI,Z score,3.43,47,placebo > control,table,46.0,20.0,-4.0,Cort_Frontal Opercular Cortex
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left SII,left,-62.0,-26.0,24.0,MNI,Z score,3.28,83,placebo > control,table,-62.0,-26.0,24.0,"Cort_Supramarginal Gyrus, anterior division"
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left thalamus,left,-4.0,-12.0,8.0,MNI,Z score,3.21,33,placebo > control,table,-4.0,-12.0,8.0,Sub_Left Thalamus
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left pons,left,-8.0,-32.0,-36.0,MNI,Z score,3.12,29,placebo > control,table,-8.0,-32.0,-36.0,Sub_Brain-Stem
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right inferior frontal gyrus (47)/insula,right,56.0,28.0,-2.0,MNI,Z score,4.36,1717,placebo > control,table,56.0,28.0,-2.0,"Cort_Inferior Frontal Gyrus, pars triangularis"
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right inferior parietal cortex,right,56.0,-50.0,32.0,MNI,Z score,4.28,766,placebo > control,table,56.0,-50.0,32.0,Cort_Angular Gyrus
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Posterior cingulate,not_reported,8.0,-34.0,34.0,MNI,Z score,4.22,801,placebo > control,table,8.0,-34.0,34.0,"Cort_Cingulate Gyrus, posterior division"
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Bilateral rACC,bilateral,4.0,44.0,8.0,MNI,Z score,4.03,578,placebo > control,table,4.0,44.0,8.0,"Cort_Cingulate Gyrus, anterior division"
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right inferior parietal cortex,right,62.0,-30.0,50.0,MNI,Z score,4,263,placebo > control,table,62.0,-30.0,50.0,"Cort_Supramarginal Gyrus, anterior division"
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left inferior parietal cortex,left,-56.0,-54.0,46.0,MNI,Z score,3.94,574,placebo > control,table,-56.0,-54.0,46.0,Cort_Angular Gyrus
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left middle/inferior frontal gyrus,left,-50.0,44.0,12.0,MNI,Z score,3.60,91,placebo > control,table,-50.0,44.0,12.0,Cort_Frontal Pole
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right superior frontal gyrus,right,18.0,32.0,50.0,MNI,Z score,3.52,264,placebo > control,table,18.0,32.0,50.0,Cort_Superior Frontal Gyrus
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right superior frontal gyrus,right,4.0,68.0,16.0,MNI,Z score,3.39,95,placebo > control,table,4.0,68.0,16.0,Cort_Frontal Pole
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left inferior frontal gyrus,left,-46.0,6.0,26.0,MNI,Z score,3.05,23,placebo > control,table,-46.0,6.0,26.0,"Cort_Inferior Frontal Gyrus, pars opercularis"
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left inferior frontal gyrus,left,-50.0,20.0,-6.0,MNI,Z score,3.04,50,placebo > control,table,-50.0,20.0,-6.0,unassigned
16407533,16399_C1,sham_post_gt_pre,Right anterior insula,R,46.0,20.0,-4.0,MNI,Z,3.21,30,Placebo > Control,Table 3,46.0,20.0,-4.0,Cort_Frontal Opercular Cortex
16407533,16399_C1,sham_post_gt_pre,Right inferior parietal lobule,R,60.0,-36.0,52.0,MNI,Z,4.19,240,Placebo > Control,Table 3,60.0,-36.0,52.0,"Cort_Supramarginal Gyrus, posterior division"
16407533,16399_C1,sham_post_gt_pre,Left superior frontal gyrus,L,-20.0,20.0,66.0,MNI,Z,3.57,47,Placebo > Control,Table 3,-20.0,20.0,66.0,unassigned
16407533,16399_C1,sham_post_gt_pre,Right inferior frontal gyrus/anterior insula,R,48.0,22.0,-2.0,MNI,Z,3.5,105,Placebo > Control,Table 3,48.0,22.0,-2.0,Cort_Frontal Opercular Cortex
16407533,16399_C1,sham_post_gt_pre,Left inferior parietal lobule,L,-56.0,-54.0,46.0,MNI,Z,3.38,164,Placebo > Control,Table 3,-56.0,-54.0,46.0,Cort_Angular Gyrus
16407533,16399_C1,sham_post_gt_pre,Left middle frontal gyrus,L,-46.0,50.0,12.0,MNI,Z,3.33,74,Placebo > Control,Table 3,-46.0,50.0,12.0,Cort_Frontal Pole
16407533,16399_C1,sham_post_gt_pre,Right middle frontal gyrus,R,40.0,58.0,2.0,MNI,Z,3.05,31,Placebo > Control,Table 3,40.0,58.0,2.0,Cort_Frontal Pole
16407533,16399_C1,sham_post_gt_pre,Right middle frontal gyrus,R,52.0,38.0,26.0,MNI,Z,3.02,36,Placebo > Control,Table 3,52.0,38.0,26.0,unassigned
16407533,16399_C1,sham_post_gt_pre,Left inferior frontal gyrus,L,-54.0,12.0,28.0,MNI,Z,2.98,87,Placebo > Control,Table 3,-54.0,12.0,28.0,"Cort_Inferior Frontal Gyrus, pars opercularis"
16407533,16399_C1,sham_post_gt_pre,Bilateral rACC,midline,2.0,44.0,10.0,MNI,Z,2.96,33,Placebo > Control,Table 3,2.0,44.0,10.0,"Cort_Cingulate Gyrus, anterior division"
16407533,16399_C1,sham_post_gt_pre,Right inferior frontal gyrus,R,48.0,40.0,8.0,MNI,Z,2.86,27,Placebo > Control,Table 3,48.0,40.0,8.0,Cort_Frontal Pole
16407533,16399_C1,sham_post_gt_pre,Right supramarginal gyrus,R,60.0,-58.0,32.0,MNI,Z,2.81,29,Placebo > Control,Table 3,60.0,-58.0,32.0,Cort_Angular Gyrus
16407533,16399_C2,deactivation,Left M1,L,-18.0,-18.0,60.0,MNI,Z,4.0,170,Control > Placebo,Table 3,-18.0,-18.0,60.0,unassigned
16407533,16399_C3,correlation_clinical,Left inferior frontal gyrus,L,-22.0,12.0,-20.0,MNI,Z,3.69,52,Negative correlation,Table 4,-22.0,12.0,-20.0,Cort_Frontal Orbital Cortex
16407533,16399_C3,correlation_clinical,Right inferior frontal gyrus,R,28.0,48.0,2.0,MNI,Z,3.15,20,Negative correlation,Table 4,28.0,48.0,2.0,unassigned
16407533,16399_C3,correlation_clinical,Left inferior frontal cortex,L,-48.0,40.0,6.0,MNI,Z,3.06,41,Negative correlation,Table 4,-48.0,40.0,6.0,Cort_Frontal Pole
16407533,16399_C3,correlation_clinical,Right middle frontal gyrus,R,26.0,0.0,48.0,MNI,Z,3.01,21,Negative correlation,Table 4,26.0,0.0,48.0,unassigned
16407533,16399_C3,correlation_clinical,Bilateral rACC,R,10.0,36.0,-2.0,MNI,Z,2.82,22,Negative correlation,Table 4,10.0,36.0,-2.0,unassigned
16407533,16399_C3,correlation_clinical,Right fusiform gyrus,R,50.0,-48.0,-20.0,MNI,Z,2.83,27,Negative correlation,Table 4,50.0,-48.0,-20.0,"Cort_Inferior Temporal Gyrus, temporooccipital part"
16407533,16399_C3,correlation_clinical,Right parahippocampus,R,12.0,-32.0,-4.0,MNI,Z,3.49,40,Negative correlation,Table 4,12.0,-32.0,-4.0,unassigned
16407533,16399_C3,correlation_clinical,Left cerebellum,L,-32.0,-72.0,-30.0,MNI,Z,3.38,25,Negative correlation,Table 4,-32.0,-72.0,-30.0,unassigned
16407533,16399_C3,correlation_clinical,Right cerebellum,R,36.0,-60.0,-44.0,MNI,Z,2.88,26,Negative correlation,Table 4,36.0,-60.0,-44.0,unassigned
16407533,16399_C3,correlation_clinical,Right pons,R,10.0,-32.0,-26.0,MNI,Z,3.7,64,Negative correlation,Table 4,10.0,-32.0,-26.0,Sub_Brain-Stem
16407533,16399_C4,sham_post_gt_pre,Right thalamus,midline,2.0,-14.0,8.0,MNI,Z,3.54,34,Placebo > Control,Table 5,2.0,-14.0,8.0,Sub_Right Thalamus
16407533,16399_C4,sham_post_gt_pre,Right anterior insula,R,46.0,20.0,-4.0,MNI,Z,3.43,47,Placebo > Control,Table 5,46.0,20.0,-4.0,Cort_Frontal Opercular Cortex
16407533,16399_C4,sham_post_gt_pre,Left SII,L,-62.0,-26.0,24.0,MNI,Z,3.28,83,Placebo > Control,Table 5,-62.0,-26.0,24.0,"Cort_Supramarginal Gyrus, anterior division"
16407533,16399_C4,sham_post_gt_pre,Left thalamus,L,-4.0,-12.0,8.0,MNI,Z,3.21,33,Placebo > Control,Table 5,-4.0,-12.0,8.0,Sub_Left Thalamus
16407533,16399_C4,sham_post_gt_pre,Left pons,L,-8.0,-32.0,-36.0,MNI,Z,3.12,29,Placebo > Control,Table 5,-8.0,-32.0,-36.0,Sub_Brain-Stem
16407533,16399_C4,sham_post_gt_pre,Right inferior frontal gyrus (47)/insula,R,56.0,28.0,-2.0,MNI,Z,4.36,1717,Placebo > Control,Table 5,56.0,28.0,-2.0,"Cort_Inferior Frontal Gyrus, pars triangularis"
16407533,16399_C4,sham_post_gt_pre,Right inferior parietal cortex,R,56.0,-50.0,32.0,MNI,Z,4.28,766,Placebo > Control,Table 5,56.0,-50.0,32.0,Cort_Angular Gyrus
