arm_id,pmid,arm_type,Afferent_Input_Index,Cognitive_Anchoring,PC1,PC2,PC3,PC4,PC5,penetration_level,skin_contact,electrical_stim,manipulation_intensity,needle_retention_min,n_sessions,blinding_quality,practitioner_interaction,treatment_rationale_given
arm_EA,21794103,verum_acupuncture,0.6320377704404229,0.6138524612841191,1.71530870545753,0.18582248981874708,1.3447893388754468,1.9185842273556621,-1.2859635015508388,2.0,1.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0
arm_AP,21794103,verum_acupuncture,-0.39622912065540933,0.6138524612841191,-0.298914509651564,-0.27418022112747054,1.5638478786668395,-0.4377629921177287,0.2983080777427766,0.0,1.0,0.0,1.0,15.0,1.0,1.0,1.0,1.0
arm_verum,24821143,verum_acupuncture,0.797458623041095,0.08350053538242556,1.2499313295702785,1.740261270150556,-0.6450847511930552,2.5863370928035594,-0.610236833878469,2.0,1.0,1.0,1.0,40.0,1.0,0.0,1.0,1.0
arm_real,23666154,verum_acupuncture,0.4604349320527509,-0.5891626420854096,0.7949756653368825,-1.1687623287116924,-1.4274229214786895,-0.3113125491706159,-0.2878521491653553,2.0,1.0,0.0,2.0,,,0.0,1.0,0.0
arm_sham_scrub,23666154,sham_acupuncture,-0.3329420164140751,-0.5891626420854096,-0.7337618823279806,-0.6963128029374048,-0.8438738552669827,-0.25279102291977,-0.13680189168848356,0.0,1.0,0.0,1.0,,,0.0,1.0,0.0
arm_placebo,16407533,sham_acupuncture,-0.5245289504267163,0.6138524612841191,-0.2882472990794968,-0.9542656181025845,1.994285991171848,-0.3473514055551227,0.2811784193575295,0.0,1.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0
arm_placebo,16407533,placebo,-0.5245289504267163,0.6138524612841191,-0.2882472990794968,-0.9542656181025845,1.994285991171848,-0.3473514055551227,0.2811784193575295,0.0,1.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0
arm_control,16407533,other,-1.1475208103614158,-0.8013902231305844,-3.7361424720361778,0.21349314101431444,-0.007639091824412519,-0.05873392498846229,-0.2676562998720553,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0
arm_control,16407533,healthy_control,-1.1475208103614158,-0.8013902231305844,-3.7361424720361778,0.21349314101431444,-0.007639091824412519,-0.05873392498846229,-0.2676562998720553,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0
arm_control,16407533,sham_acupuncture,-1.1475208103614158,-0.8013902231305844,-3.7361424720361778,0.21349314101431444,-0.007639091824412519,-0.05873392498846229,-0.2676562998720553,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0
arm_control,16407533,medication,-1.1475208103614158,-0.8013902231305844,-3.7361424720361778,0.21349314101431444,-0.007639091824412519,-0.05873392498846229,-0.2676562998720553,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0
arm_CTS_baseline,17240066,verum_acupuncture,0.8341055985595845,0.6138524612841191,1.3794639313612174,1.5788631006893834,0.9143311240877497,1.8628848794885327,-1.0450705082474179,2.0,1.0,1.0,1.0,,13.0,1.0,1.0,1.0
arm_CTS_postacup,17240066,verum_acupuncture,0.8341055985595845,0.6138524612841191,1.3794639313612174,1.5788631006893834,0.9143311240877497,1.8628848794885327,-1.0450705082474179,2.0,1.0,1.0,1.0,,13.0,1.0,1.0,1.0
arm_HC,17240066,healthy_control,0.5502671473115011,0.6391420645481948,0.664230767637363,-0.1520046683820242,0.8256170148413116,-0.3885428010339364,-0.025274170907989026,2.0,1.0,,,,,1.0,,
arm_acup,24062782,verum_acupuncture,0.060316565935390254,1.3564319682309876,2.264137420275472,-1.123343323925151,1.486056344904285,-0.9742847133886595,-0.03049695451544301,2.0,1.0,0.0,2.0,10.0,1.0,1.0,2.0,1.0
