dataset,variable,n_total,n_present,n_missing,pct_missing,n_studies
arm_components,arm_type,401,401,0,0.0,154
arm_components,disease_condition,401,401,0,0.0,154
arm_components,penetration,401,319,82,20.45,154
arm_components,depth,401,319,82,20.45,154
study_predictors,penetration_level,401,367,34,8.48,154
study_predictors,skin_contact,401,367,34,8.48,154
study_predictors,blinding_quality,401,400,1,0.25,154
deqi_summary,instrument,297,297,0,0.0,116
deqi_summary,value,297,297,0,0.0,116
deqi_summary,n_analyzed,297,162,135,45.45,116
clinical_parsed,outcome_domain,1753,1753,0,0.0,130
clinical_parsed,mean,1753,1168,585,33.37,130
clinical_parsed,sd,1753,1168,585,33.37,130
clinical_parsed,n_analyzed,1753,1639,114,6.5,130
clinical_parsed,higher_is_better,1753,1287,466,26.58,130
clinical_parsed,scale_min,1753,848,905,51.63,130
clinical_parsed,scale_max,1753,848,905,51.63,130
clinical_effect_sizes,baseline_mean,227,227,0,0.0,38
clinical_effect_sizes,baseline_sd,227,227,0,0.0,38
clinical_effect_sizes,post_mean,227,227,0,0.0,38
clinical_effect_sizes,n,227,227,0,0.0,38
clinical_effect_sizes,g_corrected,227,227,0,0.0,38
contrast_classifications,contrast_category,2160,2160,0,0.0,151
contrast_classifications,tissue_level,2160,209,1951,90.32,151
contrast_classifications,has_usable_coordinates,2160,2160,0,0.0,151
contrast_classifications,n_coordinates,2160,2160,0,0.0,151
