sham_subtype,n_studies,n_arms,Afferent_Input_Index_mean,Afferent_Input_Index_sd,Cognitive_Anchoring_mean,Cognitive_Anchoring_sd,PC1_mean,PC1_sd,PC2_mean,PC2_sd
0 mW output power; no actual energy input,1,1,-0.6366187587966248,,0.0835005353824255,,-0.7812487137746182,,-0.2129814901377069,
Blunt needle without skin penetration,1,2,-0.0382812024119502,0.0,1.3564319682309876,0.0,1.3137097641633977,0.0,-0.1255888396640635,0.0
Non-acupoint penetrating sham acupuncture,1,1,0.3844875335553032,,0.6138524612841191,,0.6006639462595618,,2.5458307425668427,
Phantom acupuncture; no actual needles; acupuncturist mimicked needling ritual,1,1,-1.1475208103614158,,0.6138524612841191,,-2.175244236726805,,0.4721058229419081,
Streitberger placebo needle placed on the surface of the skin connected to de-activated electroacupuncture device,1,2,-0.4314803768797952,0.0,-0.0588107161837159,0.0,-1.3634665942668298,0.0,0.4982732508082074,0.0
acupuncture treatment at non-acupoints,1,1,-0.3782447631838495,,-0.5891626420854096,,-0.8241403246478791,,-0.6005649665482149,
adjacent non-acupoint sham acupuncture,1,2,0.1195804520498983,0.0,0.6138524612841191,0.0,0.0063371630047618,0.0,2.272190206186424,0.0
"blunt, nonpenetrating needle; tip touches skin without puncturing",1,2,-0.3755528261622392,0.0,-0.0588107161837159,0.0,-1.378373011897848,0.0,0.8050486354478102,0.0
"blunt-tip sham needles inserted into adhesive pads at non-acupoint, non-meridian locations",1,1,-0.1420686325372519,,0.4715412097179774,,-1.0297601243993528,,2.122151395312654,
blunt-tipped non-penetrating needles for most non-acupoints; penetrating needle at NA5 to promote blinding,1,1,-0.0613115596482488,,-0.0588107161837159,,-0.7266093545731419,,1.2782930549159546,
blunt-type needle poking at BL62,1,2,-0.6061087299112874,0.0,-0.0588107161837159,0.0,-0.83355285611077,0.0,-1.618795503515929,0.0
inactive acupoint acupuncture,1,3,1.0258309720606793,0.0,0.6138524612841191,0.0,2.315508059694166,0.0,2.310306518882908,0.0
inactive laser (mock laser),1,1,-1.0093850923373764,,0.6138524612841191,,-2.0412248638970243,,0.937848216813268,
manual needle-stimulation on non-acupuncture points,1,1,0.2338114511785358,,1.3564319682309876,,2.2726158343933736,,-0.3767232992541285,
matched placebo oral medication,1,1,-0.890983048316771,,0.4016248802389441,,-3.048162771331218,,1.873885895206571,
minimal sham acupuncture – superficial needle insertion at non-acupoints with immediate removal and pretend rotation,1,1,-0.6435477889965121,,-0.0588107161837159,,-0.9243552191365636,,-1.56037866836029,
mock laser acupuncture with laser turned off during treatment,1,1,-0.7585637164999498,,0.6138524612841191,,-2.0369856568380738,,1.311158229148779,
needle insertion without manual stimulation on acupuncture points,1,1,-0.2376458512248639,,0.6138524612841191,,0.0943992902024762,,0.0693103978021982,
needle insertion without manual stimulation on non-acupuncture points,1,1,-0.2376458512248639,,0.6138524612841191,,0.0943992902024762,,0.0693103978021982,
needling at nonmeridian points,1,2,0.2215058523790876,0.0,0.6138524612841191,0.0,1.2532078697622184,0.0,-0.3067851068703381,0.0
non-acupoint electroacupuncture,1,1,0.7989251918330679,,-0.1287270456627493,,0.0039550938727871,,2.92019631371468,
non-acupoint location needling,1,1,-0.1166404431451418,,-0.5891626420854096,,-0.8156619105299777,,0.1460550581228076,
non-acupoint needle insertion approximately 10 mm anterior to real acupoints,1,2,-0.0410046247398612,0.0,-0.5891626420854096,0.0,0.7805623613364501,0.0,-2.4380163706524307,0.0
non-acupoint needling,4,5,0.04377818681077307,0.5491925590760296,0.10418416962307935,0.5131734604288379,0.28290987751281904,1.2464813590072656,0.006921121157797269,0.5261712347092978
non-acupoint needling with electrical stimulation,1,1,1.0473875450022776,,0.6138524612841191,,1.617689841758742,,3.1238986577113077,
non-acupoint needling with identical needling procedure,1,2,0.3498056821503946,0.0,-0.0588107161837159,0.0,0.7201960132019023,0.0,0.1112840434893004,0.0
non-acupoint shallow acupuncture,1,1,-0.0284221029758584,,0.6138524612841191,,-0.1659734592049556,,1.673378556923247,
non-acupoint shallow needling without manipulation,1,1,-0.15997992966542,,1.1442043871858123,,-0.4023965229775862,,1.6745278828859491,
non-acupoint stimulation located midway between SP6 and the Urinary Bladder Meridian,1,2,0.1548083326674323,0.0,0.4715412097179774,0.0,0.6174375944778473,0.0,-1.0725156657240815,0.0
non-insertive acupuncture treatment on non-acupoints using sham needles with blunt tips,1,1,-0.1946608144640921,,-0.0588107161837159,,-1.1677711403081932,,1.5369295401028042,
non-meridian and non-acupoints located 0.5 cun away from actual acupoints,1,2,1.1012137605708372,0.0,-0.5891626420854096,0.0,1.2323238188862222,0.0,3.577172452133087,0.0
"non-meridian point needling (NAP), 2–3 cm apart from ST36",1,1,0.04584211012464,,0.6138524612841191,,1.2247359895425582,,-1.1946017617043714,
non-penetrating sham needling at non-acupoints with inactive electro-acupuncture device,1,2,-0.3406136487451113,0.0,1.1442043871858123,0.0,-0.6605804759308525,0.0,1.8518906203608616,0.0
non-penetrating sham using empty plastic needle sheath to tap skin,1,2,-0.4898203666600249,0.0,-0.0588107161837159,0.0,-1.3868514260157492,0.0,0.0584286107767876,0.0
non-penetrating sham using empty plastic needle sheaths tapped against skin,1,2,-0.4898203666600249,0.0,-0.0588107161837159,0.0,-1.3868514260157492,0.0,0.0584286107767876,0.0
nonacupoint needling at same depth and same manipulation pattern,1,2,-0.0410046247398612,0.0,0.0835005353824255,0.0,1.302907007324699,0.0,-2.176000124036955,0.0
nonacupoint stimulation,1,1,,,,,,,,
noninsertive acupuncture; gentle tapping with von Frey monofilament,1,1,-0.3329420164140751,,-0.5891626420854096,,-0.7337618823279806,,-0.6963128029374048,
not_applicable,1,1,-1.266230394872189,,1.1442043871858123,,-2.2585023029796867,,1.0055321704718785,
"penetrating needle at non-acupuncture control point, different dermatome",1,1,0.0024187426923893,,0.6138524612841191,,1.2221924653071878,,-1.418587769105678,
"penetrating needle at non-acupuncture control point, same dermatome",1,1,0.0024187426923893,,0.6138524612841191,,1.2221924653071878,,-1.418587769105678,
phantom acupuncture,2,2,-1.1475208103614158,0.0,0.2775208725502016,0.4756446942419962,-2.4364165597209295,0.36935344129477743,0.34109769963417036,0.1852734647628495
placebo acupuncture at non-acupoint locations 1 cm away from lateral median line of lower limbs,1,2,0.1031357237137031,0.0,0.4715412097179774,0.0,-0.6184111739263374,0.0,2.47706567940501,0.0
placebo capsule,1,1,-1.266230394872189,,-0.271038297228891,,-3.819400538289059,,0.7469194885442845,
placebo laser (laser off),1,2,-0.6366187587966248,0.0,0.6138524612841191,0.0,-0.8645067800275001,0.0,0.3204448573922631,0.0
"pseudo-stimulation: needles inserted, no stimulation delivered; participants believed they received electro-acupuncture",1,1,-0.4371323050107444,,0.6138524612841191,,-0.3850537449125118,,0.1948776275972306,
puncturing non-acupoints,1,2,0.3013676945080681,0.0,-0.0588107161837159,0.0,0.3226751579767329,0.0,0.9314107589366998,0.0
retractable placebo needle (Streitberger needle),1,2,-0.5245289504267163,0.0,0.6138524612841191,0.0,-0.2882472990794968,0.0,-0.9542656181025844,0.0
"see protocol paper for more details (Kim J et al., 2021)",1,1,-0.5326949868757079,,0.4715412097179774,,-0.3771840492088741,,0.8064628925880525,
