pmid,contrast_id,contrast_category,brain_region,hemisphere,x,y,z,coordinate_space,statistic_type,statistic_value,cluster_size,direction,coordinate_source
16407533,contrast_placebo_gt_control_within_mask,sham_post_gt_pre,Right anterior insula,right,46.0,20.0,-4.0,MNI,Z score,3.21,30,placebo > control,table
16407533,contrast_control_gt_placebo_within_mask,deactivation,Left M1,left,-18.0,-18.0,60.0,MNI,Z score,4.00,170,control > placebo,table
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right inferior parietal lobule,right,60.0,-36.0,52.0,MNI,Z score,4.19,240,placebo > control,table
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Left superior frontal gyrus,left,-20.0,20.0,66.0,MNI,Z score,3.57,47,placebo > control,table
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right inferior frontal gyrus/anterior insula,right,48.0,22.0,-2.0,MNI,Z score,3.50,105,placebo > control,table
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Left inferior parietal lobule,left,-56.0,-54.0,46.0,MNI,Z score,3.38,164,placebo > control,table
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Left middle frontal gyrus,left,-46.0,50.0,12.0,MNI,Z score,3.33,74,placebo > control,table
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right middle frontal gyrus,right,40.0,58.0,2.0,MNI,Z score,3.05,31,placebo > control,table
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right middle frontal gyrus,right,52.0,38.0,26.0,MNI,Z score,3.02,36,placebo > control,table
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Left inferior frontal gyrus,left,-54.0,12.0,28.0,MNI,Z score,2.98,87,placebo > control,table
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Bilateral rACC,bilateral,2.0,44.0,10.0,MNI,Z score,2.96,33,placebo > control,table
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right inferior frontal gyrus,right,48.0,40.0,8.0,MNI,Z score,2.86,27,placebo > control,table
16407533,contrast_placebo_gt_control_outside_mask,sham_post_gt_pre,Right supramarginal gyrus,right,60.0,-58.0,32.0,MNI,Z score,2.81,29,placebo > control,table
16407533,contrast_correlation_negative,correlation_clinical,Left inferior frontal gyrus,left,-22.0,12.0,-20.0,MNI,Z score,3.69,52,negative correlation,table
16407533,contrast_correlation_negative,correlation_clinical,Right inferior frontal gyrus,right,28.0,48.0,2.0,MNI,Z score,3.15,20,negative correlation,table
16407533,contrast_correlation_negative,correlation_clinical,Left inferior frontal cortex,left,-48.0,40.0,6.0,MNI,Z score,3.06,41,negative correlation,table
16407533,contrast_correlation_negative,correlation_clinical,Right middle frontal gyrus,right,26.0,0.0,48.0,MNI,Z score,3.01,21,negative correlation,table
16407533,contrast_correlation_negative,correlation_clinical,Bilateral rACC,bilateral,10.0,36.0,-2.0,MNI,Z score,2.82,22,negative correlation,table
16407533,contrast_correlation_negative,correlation_clinical,Right fusiform gyrus,right,-50.0,-48.0,-20.0,MNI,Z score,2.83,27,negative correlation,table
16407533,contrast_correlation_negative,correlation_clinical,Right parahippocampus,right,12.0,-32.0,-4.0,MNI,Z score,3.49,40,negative correlation,table
16407533,contrast_correlation_negative,correlation_clinical,Left cerebellum,left,-32.0,-72.0,-30.0,MNI,Z score,3.38,25,negative correlation,table
16407533,contrast_correlation_negative,correlation_clinical,Right cerebellum,right,36.0,-60.0,-44.0,MNI,Z score,2.88,26,negative correlation,table
16407533,contrast_correlation_negative,correlation_clinical,Right pons,right,10.0,-32.0,-26.0,MNI,Z score,3.70,64,negative correlation,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right thalamus,right,2.0,-14.0,8.0,MNI,Z score,3.54,34,placebo > control,table
