pmid,raw_type,std_type,raw_value,parsed_value,t_value,n,status
41351443,t,t,4.81,4.81,4.81,66.0,converted
41351443,t,t,4.96,4.96,4.96,66.0,converted
41351443,t,t,5.01,5.01,5.01,66.0,converted
41351443,t,t,5.27,5.27,5.27,66.0,converted
41351443,t,t,5.26,5.26,5.26,66.0,converted
41351443,t,t,6.98,6.98,6.98,66.0,converted
41351443,t,t,4.99,4.99,4.99,66.0,converted
41351443,t,t,5.0,5.0,5.0,66.0,converted
41351443,t,t,5.11,5.11,5.11,66.0,converted
41351443,t,t,5.37,5.37,5.37,66.0,converted
41351443,t,t,5.03,5.03,5.03,66.0,converted
41351443,t,t,6.4,6.4,6.4,66.0,converted
39468590,t,t,4.1,4.1,4.1,118.0,converted
39468590,t,t,4.3,4.3,4.3,118.0,converted
39468590,t,t,4.0,4.0,4.0,118.0,converted
39468590,t,t,4.2,4.2,4.2,118.0,converted
39468590,t,t,3.9,3.9,3.9,118.0,converted
39468590,t,t,6.3,6.3,6.3,118.0,converted
39468590,t,t,6.5,6.5,6.5,118.0,converted
21080967,Z score,z,Inf,,,48.0,failed
21080967,Z score,z,5.44,5.44,6.489491928547785,48.0,converted
21080967,Z score,z,5.16,5.16,6.046123303782003,48.0,converted
21080967,Z score,z,4.12,4.12,4.559620916760505,48.0,converted
21080967,Z,z,not_reported,,,48.0,failed
21080967,Z,z,5.52,5.52,6.620103684358719,48.0,converted
21080967,Z,z,5.39,5.39,6.408771059812288,48.0,converted
21080967,Z,z,5.44,5.44,6.489491928547785,48.0,converted
21080967,Z,z,5.45,5.45,6.505719566913797,48.0,converted
21080967,Z,z,5.37,5.37,6.376675692941407,48.0,converted
21080967,Z,z,5.16,5.16,6.046123303782003,48.0,converted
21080967,Z,z,4.12,4.12,4.559620916760505,48.0,converted
40634927,Z,z,2.86,2.86,2.953911976763166,74.0,converted
40634927,Z,z,3.56,3.56,3.736475887860944,74.0,converted
40634927,Z,z,2.68,2.68,2.758207530824766,74.0,converted
40634927,Z,z,4.34,4.34,4.657883987607143,74.0,converted
40634927,Z,z,2.82,2.82,2.9102452606684683,74.0,converted
40634927,Z,z,3.62,3.62,3.8053416412229017,74.0,converted
