pmid,arm_id,body_x_meaning,penetration_x_credibility,deqi_x_expectancy
21794103,arm_EA,2.0,,
21794103,arm_AP,0.0,,
24821143,arm_verum,0.0,,
23666154,arm_real,0.0,,
23666154,arm_sham_scrub,0.0,,
16407533,arm_placebo,0.0,,
16407533,arm_control,0.0,,
17240066,arm_CTS_baseline,2.0,,
17240066,arm_CTS_postacup,2.0,,
17240066,arm_HC,2.0,,
24062782,arm_acup,2.0,,
24062782,arm_tactile,0.0,,
24734113,arm_stroke,0.0,,
24734113,arm_healthy,0.0,,
25228908,arm_verum,0.0,,
22916152,arm_AD,,,
22916152,arm_MCI,,,
22916152,arm_NOR,,,
20423216,arm_acupuncture,2.0,,
20423216,arm_sham,0.0,,
9482939,arm_visual,0.0,,
9482939,arm_acupoint,0.0,,
9482939,arm_nonacupoint,0.0,,
23691237,arm_ST36,2.0,,
23691237,arm_NAP,2.0,,
24459533,arm_FD,0.0,,
24459533,arm_HC,0.0,,
23316257,arm_acupuncture,2.0,,
23316257,arm_tactile,0.0,,
23935686,arm_review_included_studies,,,
25220656,arm_PD,0.0,,
25220656,arm_HC,0.0,,
25452777,arm_healthy,0.0,,
25452777,arm_stroke,0.0,,
24963329,arm_TA,2.0,,
24963329,arm_SA,0.0,,
24734108,arm_stroke,0.0,,
24734108,arm_control,0.0,,
22761766,arm_acup,2.0,,
22761766,arm_sham,2.0,,
24968124,arm_mci,0.0,,
24968124,arm_hc,0.0,,
24915066,arm_A,3.0,,
24915066,arm_B,3.0,,
19559684,arm_acupuncture,1.0,,
19559684,arm_tactile,0.0,,
25525442,arm_real,0.0,,
25525442,arm_sham,0.0,,
23840533,arm_MA,0.0,,
23840533,arm_EA,0.0,,
23840533,arm_TEAS,0.0,,
23840533,arm_SC,0.0,,
22291848,arm_CV4,2.0,,
22291848,arm_CV12,2.0,,
21080967,arm_genuine_HE,2.0,,
21080967,arm_genuine_LE,2.0,,
21080967,arm_sham_HE,0.0,,
21080967,arm_sham_LE,0.0,,
20838644,arm_verum,0.0,,
20838644,arm_placebo,0.0,,
23152865,arm_A,2.0,,
23152865,arm_B,2.0,,
23152865,arm_C,2.0,,
23152865,arm_D,2.0,,
24603951,arm_AD,0.0,,
24603951,arm_NC,0.0,,
28443010,arm_stroke,0.0,,
28443010,arm_healthy,0.0,,
29951105,arm_A,2.0,,
29951105,arm_B,0.0,,
29563830,contra_group,2.0,,
29563830,ipsi_group,2.0,,
29904344,arm_pms_eas,0.0,,
29763448,arm_AD,0.0,,
29763448,arm_HC,,,
27812501,arm_verum,2.0,,
27812501,arm_sham,0.0,,
28480365,arm_LR3,2.0,,
28480365,arm_sham_acu,0.0,,
28480365,arm_sham_acupoint,2.0,,
30881095,arm_CLBP,0.0,,
30034336,TAG,3.0,,
30034336,SAG,1.0,,
30034336,WG,0.0,,
30914909,arm_XNKQ,2.0,,
30914909,arm_pns,2.0,,
30914909,arm_npws,2.0,,
30914909,arm_npns,2.0,,
26211895,arm_genuine,0.0,,
26211895,arm_pseudo,1.0,,
27857211,EA,2.0,,
27857211,Mox,0.0,,
27857211,HC,,,
27857211,CD_all,,,
25916336,arm_MWoA,0.0,,
25916336,arm_HC,0.0,,
28053642,arm_left_gb34,0.0,,
28053642,arm_right_gb34,0.0,,
27242492,arm_MDD,0.0,,
27242492,arm_HC,,,
27242911,arm_included_studies,0.0,,
29204113,arm_ea,0.0,,
29204113,arm_moxa,0.0,,
25821486,arm_ACU,2.0,,
25821486,arm_SHAM,1.0,,
28334999,arm_local,4.0,,
28334999,arm_distal,4.0,,
28334999,arm_sham,0.0,,
28334999,arm_hc,,,
30914919,arm_acupuncture,2.0,,
30914919,arm_placebo,0.0,,
30914919,arm_responder,,,
30914919,arm_nonresponder,,,
26467429,arm_KI3,0.0,,
26467429,arm_nonacupoint,3.0,,
29343693,real,0.0,,
29343693,phnt,0.0,,
30719061,arm_LR3,0.0,,
30719061,arm_KI3,0.0,,
30719061,arm_LR3KI3,0.0,,
31011330,arm_CM,0.0,,
31011330,arm_HC,0.0,,
26839078,VA1,0.0,,
26839078,VA2,0.0,,
26839078,VA3,0.0,,
26839078,SA,0.0,,
26839078,WT,0.0,,
26839078,HC,0.0,,
26839078,AG,0.0,,
25741269,healthy_subjects,2.0,,
27803655,arm_ST36,2.0,,
27803655,arm_CP1,2.0,,
27803655,arm_CP2,2.0,,
27688791,arm_LR3,2.0,,
27688791,arm_sham,2.0,,
30105065,arm_AD_real,0.0,,
30105065,arm_AD_sham,0.0,,
30105065,arm_MCI_real,0.0,,
30105065,arm_MCI_sham,0.0,,
30105065,arm_HC_real,0.0,,
26161117,arm_ALBP,2.0,,
35464313,arm_all_fd,0.0,,
35464313,arm_higher_response,0.0,,
35464313,arm_lower_response,0.0,,
34431029,arm_CG,0.0,,
34431029,arm_TG,2.0,,
33776442,arm_EA,0.0,,
32194493,arm_acupuncture,2.0,,
32194493,arm_sham,,,
34720908,arm_IBSD,0.0,,
34720908,arm_HC,0.0,,
34949986,arm_CLBP,,,
34949986,arm_HC,,,
34122321,arm_MwoA,0.0,,
34122321,arm_HC,0.0,,
33384580,arm_NC,0.0,,
33384580,arm_IBSbs,0.0,,
33384580,arm_IBS1st,0.0,,
35557556,arm_groupA,0.0,,
35557556,arm_groupB,0.0,,
35557556,arm_HS,0.0,,
35557556,arm_CSAP_all,0.0,,
33664320,arm_CON,0.0,,
33664320,arm_CON_U,0.0,,
33664320,arm_ACU,1.0,,
33664320,arm_ACU_U,1.0,,
33664320,arm_ACU_C,1.0,,
33664320,arm_ACU_D,1.0,,
33664320,arm_NACU,1.0,,
33560579,arm_effective,2.0,,
33560579,arm_sham,1.0,,
33013312,arm_real,2.0,,
33013312,arm_sham,1.0,,
