arm_id,penetration_level,skin_contact,electrical_stim,electrical_frequency_hz,n_needles,n_sessions,needle_retention_min,manipulation_intensity,deqi_intended,acupoint_disease_relevant,blinding_present,blinding_quality,credibility_score,expectancy_score,prior_experience_naive,practitioner_interaction,treatment_rationale_given,sham_penetration_level,sham_skin_contact,sham_at_acupoints,sham_visual_cue,pmid
arm_EA,2.0,1.0,1.0,2.0,,1.0,15.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,21794103
arm_AP,0.0,1.0,0.0,,,1.0,15.0,1.0,0.0,,1.0,1.0,,,,1.0,1.0,,,,,21794103
arm_verum,2.0,1.0,1.0,2.0,,1.0,40.0,1.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,24821143
arm_real,2.0,1.0,0.0,,,,,2.0,1.0,,0.0,0.0,,,,1.0,0.0,,,,,23666154
arm_sham_scrub,0.0,1.0,0.0,,,,,1.0,0.0,,0.0,0.0,,,,1.0,0.0,0.0,1.0,1.0,0.0,23666154
arm_placebo,0.0,1.0,0.0,,,2.0,5.0,1.0,0.0,,1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,16407533
arm_control,0.0,0.0,0.0,,,1.0,,0.0,0.0,,1.0,1.0,,,1.0,0.0,0.0,,,,,16407533
arm_CTS_baseline,2.0,1.0,1.0,2.0,,13.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,17240066
arm_CTS_postacup,2.0,1.0,1.0,2.0,,13.0,,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,,,,,17240066
arm_HC,2.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,17240066
arm_acup,2.0,1.0,0.0,,,1.0,10.0,2.0,1.0,,1.0,1.0,,,,2.0,1.0,,,,,24062782
arm_tactile,0.0,1.0,0.0,,,1.0,10.0,1.0,0.0,,1.0,1.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,24062782
arm_stroke,2.0,1.0,0.0,,,1.0,,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,24734113
arm_healthy,2.0,1.0,0.0,,,1.0,,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,24734113
arm_verum,2.0,1.0,0.0,,,,5.0,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,25228908
arm_AD,,,,,,,,,,,1.0,1.0,,,,,0.0,,,,,22916152
arm_MCI,,,,,,,,,,,1.0,1.0,,,,,0.0,,,,,22916152
arm_NOR,,,,,,,,,,,1.0,1.0,,,,,0.0,,,,,22916152
arm_acupuncture,2.0,1.0,0.0,,,1.0,0.5,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,20423216
arm_sham,0.0,1.0,0.0,,,1.0,0.5,1.0,0.0,,1.0,1.0,,,,1.0,0.0,0.0,1.0,1.0,0.0,20423216
arm_visual,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,1.0,,,,,9482939
arm_acupoint,2.0,1.0,0.0,,,,,2.0,0.0,,0.0,0.0,,,,1.0,1.0,,,,,9482939
arm_nonacupoint,2.0,1.0,0.0,,,,,1.0,0.0,,0.0,0.0,,,,1.0,0.0,2.0,1.0,0.0,1.0,9482939
arm_ST36,2.0,1.0,0.0,,,1.0,9.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,23691237
arm_NAP,2.0,1.0,0.0,,,1.0,9.0,2.0,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,0.0,0.0,23691237
arm_FD,3.0,1.0,0.0,,,10.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,24459533
arm_HC,3.0,1.0,0.0,,,10.0,30.0,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,24459533
arm_acupuncture,2.0,1.0,0.0,,,1.0,8.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,0.0,,,,,23316257
arm_tactile,0.0,1.0,0.0,,,1.0,8.0,1.0,0.0,,1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,23316257
arm_review_included_studies,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,23935686
arm_PD,2.0,1.0,0.0,,1.0,1.0,,1.0,,1.0,0.0,0.0,,,,1.0,1.0,,,,,25220656
arm_HC,2.0,1.0,0.0,,1.0,1.0,,1.0,,,0.0,0.0,,,,1.0,1.0,,,,,25220656
arm_healthy,2.0,1.0,0.0,,,1.0,3.0,1.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,25452777
arm_stroke,2.0,1.0,0.0,,,1.0,3.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,25452777
arm_TA,2.0,1.0,0.0,,,1.0,30.0,2.0,1.0,,1.0,1.0,,,,1.0,0.0,,,,,24963329
arm_SA,0.0,1.0,0.0,,,1.0,30.0,0.0,0.0,,1.0,1.0,,,,1.0,0.0,0.0,1.0,1.0,0.0,24963329
arm_stroke,2.0,1.0,0.0,,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,24734108
arm_control,2.0,1.0,0.0,,,1.0,1.0,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,24734108
arm_acup,2.0,1.0,0.0,,,2.0,20.0,2.0,,,1.0,1.0,,,,1.0,1.0,,,,,22761766
arm_sham,2.0,1.0,0.0,,,2.0,20.0,2.0,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,0.0,1.0,22761766
arm_mci,2.0,1.0,0.0,,,1.0,9.0,2.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,24968124
arm_hc,2.0,1.0,0.0,,,1.0,9.0,2.0,0.0,,0.0,0.0,,,,1.0,1.0,,,,,24968124
arm_A,3.0,1.0,0.0,,,32.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,24915066
arm_B,3.0,1.0,0.0,,,32.0,30.0,2.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,3.0,1.0,0.0,1.0,24915066
arm_acupuncture,1.0,1.0,0.0,,,,10.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,19559684
