pmid,arm_id,arm_label,arm_type,n_assigned,n_analyzed_neuroimaging,disease_condition,acupuncture_modality,stimulation_type,acupoints_used,anatomical_location,laterality,penetration,depth,depth_mm,manipulation,needle_type,needle_size,electrical_stim,electrical_frequency,electrical_intensity,needle_retention,needle_retention_min,session_duration,session_duration_min,n_sessions,n_sessions_numeric,treatment_period,deqi_intended,participant_instructions,treatment_rationale,practitioner_description,blinding,study_design
16407533,arm_placebo,placebo side,sham_acupuncture,,16.0,healthy volunteers; experimentally induced thermal pain,sham_needling,sham acupuncture needling,[],hand (either sham LI 4 or sham SI 3 depending on randomization group),one side of the arm (placebo side); either radial (LI) or ulnar (SI) side became placebo or control side,"retracts into its casing when pressed on the skin, similar to the action of a retractable stage knife; no skin penetration",not_reported,,needle was briefly twirled to simulate acupuncture manipulation and then left in place for 5 min before being withdrawn,"placebo acupuncture needle inserted through a small, tape-covered plastic ring; validated sham device (Streitberger and Kleinhenz, 1998)",not_reported,False,not_applicable,not_applicable,left in place for 5 min before being withdrawn,5.0,~5 min treatment,5.0,two sessions (session 2 and session 3),2.0,sessions separated by a minimum of 4 d,not_reported,"subjects were told this was a study about acupuncture analgesia; told that acupuncture would only produce an analgesic effect on the side of the arm where needles were placed (placebo side) but not on the other side of the arm where there were no needles (control side); told that if they are good responders, they would feel a difference between the treated (placebo) and untreated (control) sides","acupuncture meridian lines connect acupuncture points according to Traditional Chinese Medicine; LI meridian runs along radial side, SI meridian runs along ulnar side; acupuncture would only produce analgesic effect on the treated side",not_reported,Subjects were naive to acupuncture; sham needle was used; subjects were told the study was about acupuncture analgesia; stimulus temperature was surreptitiously decreased on placebo side during expectancy manipulation,"within-subject experimental design with three sessions (two behavioral, one fMRI)"
16407533,arm_control,control side,other,,16.0,healthy volunteers; experimentally induced thermal pain,non_acupuncture,thermal pain stimulation,[],right medial aspect of the forearm (control side),right forearm,not_applicable,not_applicable,,not_applicable,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,"each stimulus presented for 10 s, including 2.5 s each for ramp up and down; minimum interstimulus interval 16 s; next stimulus began after variable time delay of 2–12 s (average, 6 s)",,one fMRI session (session 3),1.0,not_applicable,not_applicable,same as placebo side,not_applicable,not_reported,Subjects were naive to acupuncture; sham needle was used; subjects were told the study was about acupuncture analgesia; stimulus temperature was surreptitiously decreased on placebo side during expectancy manipulation,"within-subject experimental design with three sessions (two behavioral, one fMRI)"
9482939,arm_visual,Visual light stimulation,active_control,12,12.0,Healthy volunteers; no disease condition,other,visual light stimulation,[],eye,not_reported,not_applicable,not_applicable,,8-Hz checkerboard light flash,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,not_reported,,not_reported,,not_reported,not_applicable,not_reported,used as reference/control for comparison with acupuncture stimulation; established fMRI visual cortex stimulation paradigm,not_reported,not_reported,Within-subject experimental study; preliminary study
9482939,arm_acupoint,Acupuncture stimulation (vision-related acupoints VA1–VA8),verum_acupuncture,12,12.0,Healthy volunteers; no disease condition,manual_acupuncture,manual acupuncture needle stimulation,"['VA1 (BL67)', 'VA2 (BL66)', 'VA3 (BL65)', 'VA8 (BL60)']","lateral aspect of the foot (VA1/BL67); vision-related acupoints on the foot (VA1–VA8, BL67–BL60)",not_reported,not_reported,not_reported,,continuously twisting the acupuncture needle for stimulation; resting for nonstimulation,acupuncture needle,not_reported,False,not_applicable,not_applicable,not_reported,,not_reported,,not_reported,,not_reported,not_reported,not_reported,VA1 (BL67) is believed to be an effective acupoint that directly treats eye-related disorders; known in oriental acupuncture literature as vision-related acupoints,not_reported,not_reported,Within-subject experimental study; preliminary study
9482939,arm_nonacupoint,Nonacupoint stimulation (control),sham_acupuncture,,,Healthy volunteers; no disease condition,sham_needling,needle stimulation at nonacupoint location,[],2–5 cm away from VA1 on the foot,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,False,not_applicable,not_applicable,not_reported,,not_reported,,not_reported,,not_reported,not_reported,not_reported,experimental control for acupuncture stimulation specificity,not_reported,not_reported,Within-subject experimental study; preliminary study
17240066,arm_CTS_baseline,CTS patients at baseline,verum_acupuncture,13,10.0,Carpal Tunnel Syndrome (CTS),electroacupuncture,electroacupuncture and manual needling,"['TW-5 (triple-warmer 5)', 'PC-7 (pericardium 7)', 'HT-3 (heart 3)', 'PC-3 (pericardium 3)', 'SI-4 (small intestine 4)', 'LI-5 (large intestine 5)', 'LI-10 (large intestine 10)', 'LU-5 (lung 5)']","unilateral TW-5 (dorsal aspect of forearm) to PC-7 (1st wrist crease) for electroacupuncture; additional acupoints: HT-3 (medial aspect of elbow), PC-3 (medial aspect of elbow crease), SI-4 (ulnar aspect of wrist), LI-5 (radial aspect of wrist), LI-10 (lateral aspect of forearm), LU-5 (lateral aspect of elbow crease)",unilateral,insertive,not_reported,,2Hz electroacupuncture at TW-5 to PC-7 for 10 minutes; manual even needle technique at additional acupoints where a deqi response was obtained; three acupoints chosen by practitioner from six based on individual symptoms,not_reported,not_reported,True,2Hz,not_reported,not_reported,,not_reported per session; 10 minutes electroacupuncture component,,3 times per week for three weeks and 2 times per week for the remaining two weeks,13.0,5 weeks,yes; a deqi response was obtained with manual needling,not_reported,"semi-individualized approach; common acupoints used for all, additional acupoints chosen based on individual symptoms of the presenting patient",experienced practitioners,"subjects were acupuncture-naive and were not informed of a sham acupuncture condition, only that there would be 'different forms' of acupuncture during fMRI; subjects lay supine with eyes closed and vision of distal body regions blocked by volumetric head coil","cross-sectional and longitudinal fMRI study with test-retest design; CTS patients compared to healthy controls at baseline, and CTS patients retested after 5 weeks of acupuncture therapy"
17240066,arm_CTS_postacup,CTS patients after 5 weeks of acupuncture treatment,verum_acupuncture,10,10.0,Carpal Tunnel Syndrome (CTS),,,[],,,,,,,,,,,,,,,,,,,,,,,"subjects were acupuncture-naive and were not informed of a sham acupuncture condition, only that there would be 'different forms' of acupuncture during fMRI; subjects lay supine with eyes closed and vision of distal body regions blocked by volumetric head coil","cross-sectional and longitudinal fMRI study with test-retest design; CTS patients compared to healthy controls at baseline, and CTS patients retested after 5 weeks of acupuncture therapy"
17240066,arm_HC,healthy controls (HC),healthy_control,12,9.0,Carpal Tunnel Syndrome (CTS),,,[],,,,,,,,,,,,,,,,,,,,,,,"subjects were acupuncture-naive and were not informed of a sham acupuncture condition, only that there would be 'different forms' of acupuncture during fMRI; subjects lay supine with eyes closed and vision of distal body regions blocked by volumetric head coil","cross-sectional and longitudinal fMRI study with test-retest design; CTS patients compared to healthy controls at baseline, and CTS patients retested after 5 weeks of acupuncture therapy"
19559684,arm_acupuncture,Manual acupuncture,verum_acupuncture,,48.0,Healthy volunteers (no disease condition),manual_acupuncture,manual needle rotation,['LI4 (hegu)'],right hand,right,inserted,0.5-1 cm,,bilateral manual rotation of the needle of 180 degrees at 1 Hz for 2 min during two stimulation periods M1 and M2,"silver needles (Matsuka, Tokyo, Japan)",0.23 mm diameter,False,not_applicable,not_applicable,"Needle left in place during rest periods R1, R2, R3; total scan 10 min per run, duplicate runs",,approximately 25 min per acupoint (20-25 min including duplicate scans and interview),25.0,duplicate runs per acupoint in single session,2.0,single session,Yes; deqi intended; subject sensitivity and tolerance tested after insertion prior to scanning,Instructed to raise one finger if sensation reached intensity of 7-8 on scale 1-10 and raise 2 fingers in case of sharp pain,Analgesic and regulatory clinical effects; most commonly used acupoints in clinical practice,A licensed acupuncturist (JL) in clinical practice for over 25 years,Participants were blinded to the study conditions; told acupuncture was to be performed at different acupuncture points using different techniques,Within-subject experimental fMRI study with multiple acupuncture conditions and tactile stimulation comparison in healthy volunteers
19559684,arm_tactile,Tactile stimulation,active_control,,37.0,Healthy volunteers (no disease condition),non_acupuncture,gentle tapping with flexible nylon monofilament,"['LI4', 'ST36', 'LV3']","Skin over the acupoint (right LI4, ST36, LV3)",right,no penetration; superficial tapping,not_applicable,,gently tapped with matched paradigm,5.88 von Frey monofilament,not_reported,False,not_applicable,not_applicable,not_applicable,,matched paradigm (same 10 min paradigm as acupuncture),10.0,not_reported,,single session; administered before first acupuncture,Not intended; administered before first acupuncture while subject was still naive to acupuncture sensations,Participant was blinded; told acupuncture was to be performed at different acupuncture points using different techniques; tests could not be seen from supine position,Delivered as a form of conventional sensory stimulation for comparison to extract response unique to acupuncture; can be regarded as a form of 'sham acupuncture',not_reported,Participants were blinded to the study conditions; told acupuncture was to be performed at different acupuncture points using different techniques,Within-subject experimental fMRI study with multiple acupuncture conditions and tactile stimulation comparison in healthy volunteers
