pmid,arm_id,arm_label,sham_subtype,sham_device,sham_penetration,sham_location,sham_manipulation,sham_deqi_intended,sham_credibility_procedure,acupoints_used,penetration,manipulation
16407533,arm_placebo,placebo side,retractable placebo needle (Streitberger needle),"placebo acupuncture needle inserted through a small, tape-covered plastic ring; retracts into its casing when pressed on the skin",no penetration; retracts into casing,nonacupuncture points: sham LI 4 (midpoint of the first metacarpal ~1 cm lateral to the true point) or sham SI 3 (midpoint of the true SI 3 and SI 4 on the hand),briefly twirled to simulate acupuncture manipulation,not_reported,subjects were naive to acupuncture; told it was real acupuncture; expectancy manipulation (surreptitious temperature reduction on placebo side) used to enhance belief in treatment effect,[],"retracts into its casing when pressed on the skin, similar to the action of a retractable stage knife; no skin penetration",needle was briefly twirled to simulate acupuncture manipulation and then left in place for 5 min before being withdrawn
9482939,arm_nonacupoint,Nonacupoint stimulation (control),nonacupoint stimulation,not_reported,not_reported,2–5 cm away from VA1 on the foot,not_reported,not_reported,not_reported,[],not_reported,not_reported
20423216,arm_sham,Sham stimulation,blunt-type needle poking at BL62,blunt-type needle,no penetration; skin stimulated by poking,right BL62,poking at 2 Hz,not_reported,Participants did not know which doctor was performing acupuncture/sham; told they would get acupuncture stimulations 4 times,['right BL62'],no penetration; skin was stimulated by poking,poking the skin at 2 Hz
20838644,arm_placebo,placebo laser (laser off),placebo laser (laser off),MoxlaR prototype fiberoptic infra-red light laser (808 nm) with laser switched off,non-penetrating,same acupoint locations as verum,laser held with light touch on skin surface; switched off,not intended,subjects could not differentiate between placebo (laser off) and verum laser (laser on) due to absence of skin sensation from low intensity laser,[],non-penetrating,"laser held with light touch on skin surface, switched off"
21080967,arm_sham_HE,sham EA paired with high expectancy (HE),Streitberger placebo needle placed on the surface of the skin connected to de-activated electroacupuncture device,Streitberger sham acupuncture needle; de-activated electroacupuncture device,non-penetrating; placed on the surface of the skin,LI3 and LI4 on the right hand (same as genuine),connected to a de-activated electroacupuncture device; no current applied during 25 minute treatment,not_reported,The Streitberger placebo needle has been validated and used in many studies,"['LI3', 'LI4']",placed on the surface of the skin (non-penetrating),connected to a de-activated electroacupuncture device; no current applied
21080967,arm_sham_LE,sham EA paired with low expectancy (LE),Streitberger placebo needle placed on the surface of the skin connected to de-activated electroacupuncture device,Streitberger sham acupuncture needle; de-activated electroacupuncture device,non-penetrating; placed on the surface of the skin,LI3 and LI4 on the right hand (same as genuine),connected to a de-activated electroacupuncture device; no current applied during 25 minute treatment,not_reported,The Streitberger placebo needle has been validated and used in many studies,"['LI3', 'LI4']",placed on the surface of the skin (non-penetrating),connected to a de-activated electroacupuncture device; no current applied
22761766,arm_sham,SHAM,needling at nonmeridian points,disposable sterile needles (same as ACUP),penetrating (needle inserted perpendicularly to the skin surface to a depth of 15 mm),nonmeridian points 2–3 cm away from ST36,"needle depth, stimulation intensity, and manipulation identical to that of ACUP group",not_reported,not_reported,[],needle inserted perpendicularly to the skin surface,"stimulation intensity and manipulation identical to that of ACUP group; rotational manipulation with flipping range ±180° at 120 flips/min for 1 min at 0, 7, and 14 minutes"
23152865,arm_C,Group C,sham acupoint,"sterile, single-use silver needle (same as real acupuncture)",insertion into sham acupoint (penetrating needle),approximately 10 mm anterior to the classical LR3 site,twirled manually clockwise and counterclockwise at 1 Hz with even reinforcing and reducing manipulation for 180 seconds,not_reported,credibility ratings assessed before scanning using 0–6 Likert scale; no statistical differences found between Group A and Group C,[],insertion into the sham acupoint,twirled manually clockwise and counterclockwise at 1 Hz with even reinforcing and reducing manipulation for 180 seconds (60 scans)
23152865,arm_D,Group D,sham acupoint,"sterile, single-use silver needle (same as real acupuncture)",insertion into sham acupoint (penetrating needle),approximately 10 mm anterior to the classical LR3 site,twirled manually clockwise and counterclockwise at 1 Hz with even reinforcing and reducing manipulation for 180 seconds,not_reported,not_applicable (NI group not assessed for credibility),[],insertion into the sham acupoint,twirled manually clockwise and counterclockwise at 1 Hz with even reinforcing and reducing manipulation for 180 seconds (60 scans)
23666154,arm_sham_scrub,Sham acupuncture and scrubbing stimulation,noninsertive acupuncture; gentle tapping with von Frey monofilament,5.88 von Frey monofilament,noninsertive; skin surface only,LI-4 acupoint,gentle tapping continuously at approximately 4 Hz,not_reported,not_reported,['LI-4'],noninsertive,gentle tapping of the skin surface continuously at approximately 4 Hz during stimulation block
