pmid,arm_id,arm_type,sensation,value,instrument
16407533,arm_placebo,sham_acupuncture,pain,12.9 ± 2.3,"Sensory Box 0–20 scale (Gracely et al., 1978a,b, 1979)"
16407533,arm_placebo,sham_acupuncture,pain,3.5 ± 2.1,"Sensory Box 0–20 scale (Gracely et al., 1978a,b, 1979)"
16407533,arm_control,other,pain,13.2 ± 1.8,"Sensory Box 0–20 scale (Gracely et al., 1978a,b, 1979)"
16407533,arm_control,other,pain,12.8 ± 2.4,"Sensory Box 0–20 scale (Gracely et al., 1978a,b, 1979)"
16407533,arm_placebo,sham_acupuncture,pain,12.4 ± 2.5,"Sensory Box 0–20 scale (Gracely et al., 1978a,b, 1979)"
16407533,arm_placebo,sham_acupuncture,pain,2.5 ± 2.3,"Sensory Box 0–20 scale (Gracely et al., 1978a,b, 1979)"
16407533,arm_control,other,pain,11.9 ± 3.2,"Sensory Box 0–20 scale (Gracely et al., 1978a,b, 1979)"
16407533,arm_control,other,pain,12.4 ± 3,"Sensory Box 0–20 scale (Gracely et al., 1978a,b, 1979)"
16407533,arm_placebo,sham_acupuncture,pain,9.4 ± 3.9,Sensory Box 0–20 scale
16407533,arm_placebo,sham_acupuncture,pain,8.8 ± 3.7,Sensory Box 0–20 scale
16407533,arm_placebo,sham_acupuncture,pain,13.5 ± 2.1,Sensory Box 0–20 scale
16407533,arm_placebo,sham_acupuncture,pain,12.9 ± 2.7,Sensory Box 0–20 scale
16407533,arm_control,other,pain,8.9 ± 3.6,Sensory Box 0–20 scale
16407533,arm_control,other,pain,9.2 ± 3.6,Sensory Box 0–20 scale
16407533,arm_control,other,pain,13.6 ± 2.0,Sensory Box 0–20 scale
16407533,arm_control,other,pain,14.3 ± 2.1,Sensory Box 0–20 scale
17240066,arm_CTS_baseline,verum_acupuncture,maximum deqi sensation intensity,3.6±2.1,verbal analog scale for deqi sensations
17240066,arm_CTS_baseline,verum_acupuncture,maximum deqi sensation intensity,2.9±1.6,verbal analog scale for deqi sensations
17240066,arm_CTS_postacup,verum_acupuncture,maximum deqi sensation intensity,3.7±1.6,verbal analog scale for deqi sensations
17240066,arm_CTS_postacup,verum_acupuncture,maximum deqi sensation intensity,2.7±1.0,verbal analog scale for deqi sensations
17240066,arm_HC,healthy_control,maximum deqi sensation intensity,4.1±2.0,verbal analog scale for deqi sensations
17240066,arm_HC,healthy_control,maximum deqi sensation intensity,3.3±2.0,verbal analog scale for deqi sensations
17240066,arm_HC,healthy_control,maximum deqi sensation intensity,4.7±2.2,verbal analog scale for deqi sensations
17240066,arm_HC,healthy_control,maximum deqi sensation intensity,3.2±2.0,verbal analog scale for deqi sensations
17240066,arm_CTS_baseline,verum_acupuncture,sharp_pain,3.2±0.8,verbal analog scale
17240066,arm_HC,healthy_control,sharp_pain,3.4±0.7,verbal analog scale
17240066,arm_CTS_postacup,verum_acupuncture,sharp_pain,4.0±1.6,verbal analog scale
17240066,arm_HC,healthy_control,sharp_pain,2.7±1.0,verbal analog scale
17240066,arm_CTS_baseline,verum_acupuncture,aching,"VA: 80.0%, SA: 15.0%",verbal analog scale
17240066,arm_CTS_baseline,verum_acupuncture,fullness,"VA: 33.3%, SA: 5.0%",verbal analog scale
17240066,arm_CTS_baseline,verum_acupuncture,pain,"VA: 66.7%, SA: 0.0%",verbal analog scale
17240066,arm_CTS_baseline,verum_acupuncture,sharp_pain,"VA: 60.0%, SA: 15.0%",verbal analog scale
17240066,arm_CTS_baseline,verum_acupuncture,spreading,"VA: 53.3%, SA: 20.0%",verbal analog scale
17240066,arm_HC,healthy_control,aching,"VA: 75.0%, SA: 21.4%",verbal analog scale
17240066,arm_HC,healthy_control,soreness,"VA: 62.5%, SA: 14.3%",verbal analog scale
17240066,arm_HC,healthy_control,pain,"VA: 75.0%, SA: 14.3%",verbal analog scale
17240066,arm_HC,healthy_control,sharp_pain,"VA: 68.8%, SA: 14.3%",verbal analog scale
17240066,arm_HC,healthy_control,spreading,"VA: 50.0%, SA: 14.3%",verbal analog scale
17240066,arm_CTS_postacup,verum_acupuncture,aching,"VA: 72.7%, SA: 6.7%",verbal analog scale
17240066,arm_CTS_postacup,verum_acupuncture,soreness,"VA: 54.5%, SA: 0.0%",verbal analog scale
17240066,arm_CTS_postacup,verum_acupuncture,pain,"VA: 72.7%, SA: 6.7%",verbal analog scale
17240066,arm_CTS_postacup,verum_acupuncture,spreading,"VA: 45.5%, SA: 6.7%",verbal analog scale
17240066,arm_HC,healthy_control,aching,"VA: 90.9%, SA: 9.1%",verbal analog scale
17240066,arm_HC,healthy_control,soreness,"VA: 81.8%, SA: 18.2%",verbal analog scale
17240066,arm_HC,healthy_control,sharp_pain,"VA: 63.6%, SA: 18.2%",verbal analog scale
17240066,arm_HC,healthy_control,spreading,"VA: 63.6%, SA: 9.1%",verbal analog scale
19559684,arm_acupuncture,verum_acupuncture,"Deqi response (aching, soreness, pressure, heaviness, fullness, warmth, coolness, numbness, tingling, or dull pain); defined as total score of 3 or higher for recorded sensations other than sharp pain",71% of scans,Post-scan interview for psychophysical response
19559684,arm_tactile,active_control,Deqi response; most tactile deqi consisted of surface tingling,24% of scans,Post-scan interview for psychophysical response
19559684,arm_acupuncture,verum_acupuncture,sharp_pain,15% of acupuncture scans,Post-scan interview for psychophysical response
19559684,arm_tactile,active_control,sharp_pain,2% of tactile stimulation scans,Post-scan interview for psychophysical response
20423216,arm_acupuncture,verum_acupuncture,"De qi (distinct sensations of numbness, tingling, fullness, and/or dull ache)",10 of 15 subjects experienced distinct sensations of de qi during acupuncture; 4 subjects experienced de qi by both doctors; 6 subjects experienced de qi by only 1 of them,not_reported (psychophysical response survey)
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 1 - Physician 1 (P1),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 1 - Physician 2 (P2),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 2 - Physician 1 (P1),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 2 - Physician 2 (P2),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 3 - Physician 1 (P1),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 3 - Physician 2 (P2),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 4 - Physician 1 (P1),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 4 - Physician 2 (P2),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 5 - Physician 1 (P1),Yes,not_reported
