pmid,arm_id,arm_label,arm_type,instrument,item_or_subscale,value,reporting_format,n_analyzed,p_value,disease_condition
17240066,arm_CTS_baseline,CTS patients at baseline,verum_acupuncture,verbal analog scale for deqi sensations,maximum deqi sensation intensity,3.6±2.1,mean ± SD,10.0,not_reported,Carpal Tunnel Syndrome (CTS)
17240066,arm_CTS_baseline,CTS patients at baseline,verum_acupuncture,verbal analog scale for deqi sensations,maximum deqi sensation intensity,2.9±1.6,mean ± SD,10.0,not_reported,Carpal Tunnel Syndrome (CTS)
17240066,arm_CTS_postacup,CTS patients after 5 weeks of acupuncture treatment,verum_acupuncture,verbal analog scale for deqi sensations,maximum deqi sensation intensity,3.7±1.6,mean ± SD,10.0,not_reported,Carpal Tunnel Syndrome (CTS)
17240066,arm_CTS_postacup,CTS patients after 5 weeks of acupuncture treatment,verum_acupuncture,verbal analog scale for deqi sensations,maximum deqi sensation intensity,2.7±1.0,mean ± SD,10.0,not_reported,Carpal Tunnel Syndrome (CTS)
17240066,arm_HC,healthy controls (HC),healthy_control,verbal analog scale for deqi sensations,maximum deqi sensation intensity,4.1±2.0,mean ± SD,9.0,not_reported,Carpal Tunnel Syndrome (CTS)
17240066,arm_HC,healthy controls (HC),healthy_control,verbal analog scale for deqi sensations,maximum deqi sensation intensity,3.3±2.0,mean ± SD,9.0,not_reported,Carpal Tunnel Syndrome (CTS)
17240066,arm_HC,healthy controls (HC),healthy_control,verbal analog scale for deqi sensations,maximum deqi sensation intensity,4.7±2.2,mean ± SD,9.0,not_reported,Carpal Tunnel Syndrome (CTS)
17240066,arm_HC,healthy controls (HC),healthy_control,verbal analog scale for deqi sensations,maximum deqi sensation intensity,3.2±2.0,mean ± SD,9.0,not_reported,Carpal Tunnel Syndrome (CTS)
17240066,arm_CTS_baseline,CTS patients at baseline,verum_acupuncture,verbal analog scale,aching,"VA: 80.0%, SA: 15.0%",percentage,,p<0.001,Carpal Tunnel Syndrome (CTS)
17240066,arm_CTS_baseline,CTS patients at baseline,verum_acupuncture,verbal analog scale,fullness,"VA: 33.3%, SA: 5.0%",percentage,,0.028,Carpal Tunnel Syndrome (CTS)
17240066,arm_CTS_baseline,CTS patients at baseline,verum_acupuncture,verbal analog scale,spreading,"VA: 53.3%, SA: 20.0%",percentage,,0.040,Carpal Tunnel Syndrome (CTS)
17240066,arm_HC,healthy controls (HC),healthy_control,verbal analog scale,aching,"VA: 75.0%, SA: 21.4%",percentage,,0.003,Carpal Tunnel Syndrome (CTS)
