pmid,contrast_id,contrast_label,contrast_type,analysis_method,analysis_family,n_coordinates,n_connectivity_edges,disease_condition
16407533,contrast_pain_mask,all pretreatment high pain minus all pretreatment low pain on both placebo and control sides,pain intensity contrast (high pain > low pain); used as mask,one-way ANOVA (within-subject) random-effects model; general linear model,,7,0,healthy volunteers; experimentally induced thermal pain
16407533,contrast_placebo_gt_control_within_mask,placebo (post − pre) − control (post − pre); within mask,interaction: placebo vs control × post vs pre; within pain-intensity mask,one-way ANOVA (within-subject) random-effects model; contrast of fMRI signal change differences within mask,,1,0,healthy volunteers; experimentally induced thermal pain
16407533,contrast_control_gt_placebo_within_mask,control (post − pre) − placebo (post − pre); within mask,interaction: control vs placebo × post vs pre; within pain-intensity mask,one-way ANOVA (within-subject) random-effects model; contrast within mask,,1,0,healthy volunteers; experimentally induced thermal pain
16407533,contrast_placebo_gt_control_outside_mask,placebo (post − pre) − control (post − pre); outside mask,interaction: placebo vs control × post vs pre; outside pain-intensity mask,one-way ANOVA (within-subject) random-effects model; contrast outside mask,,11,0,healthy volunteers; experimentally induced thermal pain
16407533,contrast_control_gt_placebo_outside_mask,control (post − pre) − placebo (post − pre); outside mask,interaction: control vs placebo × post vs pre; outside pain-intensity mask,one-way ANOVA (within-subject) random-effects model; contrast outside mask,,1,0,healthy volunteers; experimentally induced thermal pain
16407533,contrast_correlation_negative,simple regression (correlation) analysis: placebo (post − pre) − control (post − pre) fMRI signal vs corresponding pain rating difference; negative correlation,simple regression (correlation) between fMRI signal change difference and subjective pain rating difference; negative correlation,simple regression (correlation) analysis at second level; random-effects model,,10,0,healthy volunteers; experimentally induced thermal pain
16407533,contrast_correlation_positive,simple regression (correlation) analysis: placebo (post − pre) − control (post − pre) fMRI signal vs corresponding pain rating difference; positive correlation,simple regression (correlation); positive correlation,simple regression (correlation) analysis at second level,,1,0,healthy volunteers; experimentally induced thermal pain
16407533,contrast_post_high_placebo_gt_control_within_mask,post-treatment high pain on placebo side > post-treatment high pain on control side; within mask,post-treatment high pain: placebo vs control; within pain-intensity mask; supplemental analysis,one-way ANOVA (within-subject); comparing only post-treatment pain on placebo and control sides,,16,0,healthy volunteers; experimentally induced thermal pain
16407533,contrast_post_high_control_gt_placebo,post-treatment high pain on control side > post-treatment high pain on placebo side,post-treatment high pain: control vs placebo; supplemental analysis,one-way ANOVA (within-subject),,1,0,healthy volunteers; experimentally induced thermal pain
16407533,16399_C3,Correlation analysis between the post-treatment and pretreatment subjective pain rating changes and fMRI signal changes on placebo and control sides - Negative correlation,activation,activation,,10,0,healthy volunteers; experimentally induced thermal pain
