study	n1	n2	t_thr
16407533	16	16	3.1
19559684	48	48	3.1
20838644	10	10	3.1
21080967	48	48	3.1
23840533	18	18	3.1
24062782	59	59	3.1
24603951	28	28	3.1
24734113	18	18	3.1
24821143	34	34	3.1
24915066	40	40	3.1
25228908	9	9	3.1
25741269	45	45	3.1
26161117	28	28	3.1
26211895	12	12	3.1
26839078	104	104	3.1
27857211	70	70	3.1
28334999	65	65	3.1
29343693	47	47	3.1
29563830	20	20	3.1
29763448	28	28	3.1
29904344	20	20	3.1
29951105	21	21	3.1
30105065	49	49	3.1
30719061	30	30	3.1
32194493	41	41	3.1
32377180	20	20	3.1
33776442	20	20	3.1
34108856	34	34	3.1
34431029	20	20	3.1
34671239	50	50	3.1
35048524	60	60	3.1
35096130	20	20	3.1
35585920	33	33	3.1
35734477	105	105	3.1
35832324	24	24	3.1
36051643	34	34	3.1
36530635	52	52	3.1
37305743	41	41	3.1
37901421	51	51	3.1
38585348	68	68	3.1
39089662	50	50	3.1
39468590	118	118	3.1
39543627	65	65	3.1
39648209	35	35	3.1
40642213	51	51	3.1
40963943	72	72	3.1
40974865	85	85	3.1
41351443	66	66	3.1
41601526	573	573	3.1
41641330	24	24	3.1
42131703	98	98	3.1
