study	n1	n2	t_thr
17240066	19	19	3.1
21080967	48	48	3.1
22291848	21	21	3.1
22916152	36	36	3.1
24603951	28	28	3.1
24734113	18	18	3.1
24968124	24	24	3.1
25220656	24	24	3.1
26467429	30	30	3.1
26839078	104	104	3.1
27242492	58	58	3.1
27857211	70	70	3.1
28334999	65	65	3.1
28443010	38	38	3.1
29563830	20	20	3.1
29763448	28	28	3.1
29951105	21	21	3.1
30034336	35	35	3.1
30719061	30	30	3.1
30914919	15	15	3.1
32377180	20	20	3.1
32807158	45	45	3.1
33146953	30	30	3.1
34108856	34	34	3.1
34122321	49	49	3.1
35048524	60	60	3.1
35115998	30	30	3.1
35464313	115	115	3.1
36530615	32	32	3.1
36530635	52	52	3.1
36744205	23	23	3.1
36890655	185	185	3.1
37305743	41	41	3.1
37901421	51	51	3.1
38245739	100	100	3.1
38249582	30	30	3.1
38585348	68	68	3.1
38681626	28	28	3.1
39089662	50	50	3.1
39468590	118	118	3.1
39543627	65	65	3.1
39877657	27	27	3.1
40584525	91	91	3.1
40634927	74	74	3.1
40772121	60	60	3.1
40881782	97	97	3.1
40995472	46	46	3.1
41069516	103	103	3.1
41351443	66	66	3.1
41641330	24	24	3.1
41999225	180	180	3.1
42131703	98	98	3.1
