study	n1	n2	t_thr
19559684	48	48	3.1
20423216	15	15	3.1
21080967	48	48	3.1
23316257	22	22	3.1
23840533	18	18	3.1
24062782	59	59	3.1
24821143	34	34	3.1
24963329	15	15	3.1
25228908	9	9	3.1
25525442	31	31	3.1
25741269	45	45	3.1
26161117	28	28	3.1
26211895	12	12	3.1
29343693	47	47	3.1
29951105	21	21	3.1
30105065	49	49	3.1
32194493	41	41	3.1
33776442	20	20	3.1
35048524	60	60	3.1
35464313	115	115	3.1
36530615	32	32	3.1
36530635	52	52	3.1
39089662	50	50	3.1
39468590	118	118	3.1
39648209	35	35	3.1
39877657	27	27	3.1
40022556	197	197	3.1
40634927	74	74	3.1
40963943	72	72	3.1
40995472	46	46	3.1
41351443	66	66	3.1
