study	n1	n2	t_thr
19559684	48	48	3.1
21080967	48	48	3.1
23152865	41	41	3.1
23316257	22	22	3.1
24963329	15	15	3.1
25228908	9	9	3.1
25525442	31	31	3.1
25741269	45	45	3.1
26161117	28	28	3.1
26211895	12	12	3.1
26467429	30	30	3.1
26839078	104	104	3.1
27803655	21	21	3.1
27812501	36	36	3.1
28480365	45	45	3.1
29343693	47	47	3.1
29951105	21	21	3.1
30034336	35	35	3.1
30881095	12	12	3.1
30914909	24	24	3.1
32194493	41	41	3.1
32807158	45	45	3.1
33560579	12	12	3.1
34108856	34	34	3.1
34431029	20	20	3.1
34949986	38	38	3.1
35464313	115	115	3.1
35734477	105	105	3.1
36530635	52	52	3.1
36922926	44	44	3.1
37901421	51	51	3.1
38585348	68	68	3.1
39368604	36	36	3.1
39543627	65	65	3.1
39648209	35	35	3.1
40634927	74	74	3.1
40881782	97	97	3.1
40974865	85	85	3.1
41351443	66	66	3.1
