study	n1	n2	t_thr
22291848	21	21	3.1
23840533	18	18	3.1
24603951	28	28	3.1
24734108	17	17	3.1
24734113	18	18	3.1
24915066	40	40	3.1
24963329	15	15	3.1
24968124	24	24	3.1
25741269	45	45	3.1
26467429	30	30	3.1
26839078	104	104	3.1
27242492	58	58	3.1
27688791	28	28	3.1
27812501	36	36	3.1
27857211	70	70	3.1
28443010	38	38	3.1
28480365	45	45	3.1
29563830	20	20	3.1
29763448	28	28	3.1
29904344	20	20	3.1
29951105	21	21	3.1
30719061	30	30	3.1
32377180	20	20	3.1
32807158	45	45	3.1
33146953	30	30	3.1
33776442	20	20	3.1
34122321	49	49	3.1
34431029	20	20	3.1
34671239	50	50	3.1
35048524	60	60	3.1
35464313	115	115	3.1
35585920	33	33	3.1
35832324	24	24	3.1
36051643	34	34	3.1
36530635	52	52	3.1
36744205	23	23	3.1
36890655	185	185	3.1
36922926	44	44	3.1
37305743	41	41	3.1
38245739	100	100	3.1
38249582	30	30	3.1
38585348	68	68	3.1
39543627	65	65	3.1
39877657	27	27	3.1
40584525	91	91	3.1
40772121	60	60	3.1
40881782	97	97	3.1
41069516	103	103	3.1
41602988	20	20	3.1
42077350	40	40	3.1
